,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
826,Keita Endo\1a83027b,jp JPN,MFFW,Union Berlin,de Bundesliga,23,1997,0.6,30,45,66.7,481.7,85,15,20,75,8.33,15,55.6,3.33,3.33,100,0,0,0,0,1.67,0,0,3.33,Matches
827,Wataru Endo\c149016b,jp JPN,MF,Stuttgart,de Bundesliga,28,1993,32.2,39.8,48.6,82,726.5,193.2,17.5,20.6,84.9,16.7,19.3,86.5,4.94,6.99,70.7,0.06,0.04,0.02,0.59,3.94,0.47,0.06,4.32,Matches
828,Christian Eriksen\980522ec,dk DEN,MF,Brentford,eng Premier League,29,1992,10.4,45.4,61,74.4,1047.4,375.5,15.4,17.8,86.5,16.4,20.1,81.8,12.9,21.2,60.9,0.38,0.35,0.04,3.08,7.21,1.73,0.77,6.25,Matches
829,Martin Erlic\0fee6bda,hr CRO,DF,Spezia,it Serie A,23,1998,28.6,29.9,36.6,81.6,692.1,192.6,7.2,8.46,85.1,15.7,17.6,89.6,6.57,9.97,66,0,0.01,-0.01,0.17,1.29,0.03,0,0.87,Matches
830,Gonzalo Escalante\3f79a1c8,ar ARG,MF,Alavés,es La Liga,28,1993,14.4,19.3,28,69,340.1,99.1,9.44,12.4,76.4,7.36,10,73.6,2.08,4.31,48.4,0,0.01,-0.01,0.42,2.29,0.28,0,2.78,Matches
831,Gonzalo Escalante\3f79a1c8,ar ARG,MF,Lazio,it Serie A,28,1993,0.1,40,50,80,720,100,10,10,100,30,40,75,0,0,,0,0,0,0,0,0,0,0,Matches
832,Aarón Escandell\67669ce7,es ESP,GK,Granada,es La Liga,25,1995,3.2,22.5,39.1,57.6,913.8,689.7,4.06,4.06,100,4.38,5,87.5,13.8,29.7,46.3,0,0,0,0,0.94,0,0,0,Matches
833,Sergio Escudero\b0616e3d,es ESP,DFMF,Granada,es La Liga,31,1989,15.9,33,45.3,72.7,650.2,283.7,13.4,15.6,85.9,14.3,18.2,78.9,4.59,9.87,46.5,0.06,0.07,-0.01,0.63,2.2,0.82,0.25,2.89,Matches
834,Alfonso Espino\db001fa9,uy URU,DF,Cádiz,es La Liga,29,1992,37,30.4,48.1,63.2,598.2,271.8,12.8,15.3,83.2,12.1,16.9,71.3,4.86,12.8,38.1,0.05,0.11,-0.05,1.08,2.43,0.95,0.59,2.7,Matches
835,Michael Esser\83e0eeb4,de GER,GK,Bochum,de Bundesliga,33,1987,3,26.7,44.7,59.7,820.3,555.3,4,4,100,12.7,12.7,100,10,28,35.7,0,0,0,0,0.67,0,0,0,Matches
836,Estanis\ace50e9f,es ESP,FW,Barcelona,es La Liga,17,2003,0.1,0,10,0,0,0,0,10,0,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
837,Maxime Estève\1a066e69,fr FRA,DF,Montpellier,fr Ligue 1,19,2002,20.6,34,39.5,86,724.5,171.9,9.08,10.1,89.9,18.5,20.3,91.4,5.83,8.06,72.3,0,0,0,0.05,1.26,0.05,0,1.41,Matches
838,Pervis Estupiñán\d38fdf53,ec ECU,DF,Villarreal,es La Liga,23,1998,17.5,47.8,60.4,79.1,818.8,288.9,22.5,25.3,88.9,20.5,25.1,81.6,4.06,7.09,57.3,0.06,0.11,-0.05,0.74,2.06,1.83,0.86,4.46,Matches
839,Oghenekaro Etebo\b579e83d,ng NGA,MF,Watford,eng Premier League,25,1995,4.5,31.3,34.9,89.8,731.1,162.7,7.33,8,91.7,17.3,18.7,92.9,6.67,8,83.3,0,0.02,-0.02,0.44,2.44,0.67,0.22,2.67,Matches
840,Jonny Evans\f8fcd2a5,nir NIR,DF,Leicester City,eng Premier League,33,1988,15,54.1,65.1,83.2,1192.1,377.6,12.7,14.5,88,32.6,35.4,92.1,8.53,14.7,58.2,0.07,0.04,0.03,0.2,3.93,0.27,0.07,2.93,Matches
841,Eberechi Eze\ae4fc6a4,eng ENG,MFFW,Crystal Palace,eng Premier League,23,1998,6.7,34.9,45.5,76.7,636.3,162.4,16.1,18.8,85.7,13.1,15.8,83,4.93,8.66,56.9,0.15,0.13,0.01,1.34,2.39,1.04,0.3,4.18,Matches
842,Abdessamad Ezzalzouli\bed68338,ma MAR,FWDF,Barcelona,es La Liga,19,2001,6.4,21.6,29.5,73,278.6,44.1,16.4,19.1,86.1,3.28,5.31,61.8,1.09,2.34,46.7,0,0.09,-0.09,0.78,0.31,0.47,0.16,1.41,Matches
843,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,eng Premier League,36,1985,37,17.2,27.2,63.2,628.3,407.6,1.81,1.81,100,6.05,6.11,99.1,9.08,19,47.9,0,0,0,0.03,0.3,0,0,0,Matches
844,Fabinho\7f3b388c,br BRA,MF,Liverpool,eng Premier League,27,1993,25.7,52.2,59.2,88.1,954.9,215.5,21.5,23.8,90.3,24.5,26.7,91.8,5.33,7,76.1,0.04,0.05,-0.02,0.58,5.64,0.62,0.04,4.16,Matches
845,Fábio\bc7b4580,br BRA,DF,Nantes,fr Ligue 1,31,1990,18.5,34.1,46.1,73.9,599.7,252.6,15.8,18.3,86.4,14.5,19.1,76.2,3.14,6.81,46,0.11,0.05,0.06,0.49,2.38,0.49,0.16,2.59,Matches
846,Cesc Fàbregas\33508c78,es ESP,MF,Monaco,fr Ligue 1,34,1987,0.4,105,132.5,79.2,2182.5,792.5,27.5,35,78.6,60,67.5,88.9,15,25,60,0,0.25,-0.25,5,20,7.5,2.5,22.5,Matches
847,Wout Faes\9c221d14,be BEL,DF,Reims,fr Ligue 1,23,1998,37,33.9,38.7,87.7,779.2,239.7,8,8.7,91.9,18.8,19.8,95.3,6.81,9.49,71.8,0,0.01,-0.01,0.08,1.84,0.05,0,1.59,Matches
848,Wahidullah Faghir\93c9e7d9,dk DEN,FW,Stuttgart,de Bundesliga,18,2003,1.4,15,23.6,63.6,182.1,39.3,11.4,13.6,84.2,2.86,5.71,50,0,2.14,0,0,0,0,0,1.43,0.71,0,2.86,Matches
849,Romain Faivre\745ca0a3,fr FRA,FWMF,Lyon,fr Ligue 1,23,1998,9.9,49.4,60.2,82,862.1,261.4,23.3,27.3,85.6,18.8,21.1,89,5.96,9.09,65.6,0,0.2,-0.2,2.53,4.85,1.52,0.4,5.66,Matches
850,Romain Faivre\745ca0a3,fr FRA,MF,Brest,fr Ligue 1,23,1998,19.9,33.5,43.2,77.6,575.8,196.8,16.6,19.3,86,11.2,13.7,81.3,4.37,7.64,57.2,0.25,0.17,0.09,1.76,3.07,1.41,0.25,4.37,Matches
851,Radamel Falcao\66116290,co COL,FW,Rayo Vallecano,es La Liga,35,1986,9.3,14.3,18.7,76.4,211.5,28.1,7.42,9.35,79.3,5.38,6.77,79.4,0.65,0.75,85.7,0,0.08,-0.08,0.54,1.08,0.22,0.11,0.75,Matches
852,Diego Falcinelli\a39b9ef6,it ITA,FWMF,Bologna,it Serie A,30,1991,0.7,18.6,30,61.9,248.6,27.1,14.3,22.9,62.5,1.43,4.29,33.3,1.43,1.43,100,0,0,0,0,0,0,0,0,Matches
853,Wladimiro Falcone\9f5a610b,it ITA,GK,Sampdoria,it Serie A,26,1995,9.5,26.3,37.7,69.8,818.4,482.8,4.95,5.05,97.9,9.47,9.68,97.8,11.8,22.8,51.6,0,0,0,0,0.32,0,0,0,Matches
854,Fali\72a84002,es ESP,DFMF,Cádiz,es La Liga,27,1993,20,26.1,33.7,77.6,615,175.8,5.85,6.6,88.6,13.6,15.9,85.2,6.4,10.7,59.8,0.1,0.05,0.05,0.35,1.9,0.25,0.05,1.8,Matches
855,Paolo Faragò\9085dd7c,it ITA,MF,Cagliari,it Serie A,28,1993,0.2,35,40,87.5,485,50,10,10,100,15,20,75,0,0,,0,0,0,0,5,0,0,0,Matches
856,Omar Faraj\de627c8a,se SWE,FW,Levante,es La Liga,19,2002,0,0,2,0,0,0,0,2,0,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
857,Davide Faraoni\aae9d04a,it ITA,DF,Hellas Verona,it Serie A,29,1991,28.6,33.5,47.9,70.1,640,331,15,18.3,82,12.9,17.3,74.5,5.17,10.6,49,0.17,0.1,0.07,0.73,2.87,2.1,0.77,4.97,Matches
858,Mohamed Fares\b7a5bc86,dz ALG,DFFW,Genoa,it Serie A,25,1996,6.5,27.4,39.7,69,511.7,208,14.5,17.4,83.2,8,12,66.7,4.77,8.31,57.4,0.15,0.08,0.08,0.77,1.54,1.69,0.92,3.85,Matches
859,Diego Farias\157d29b6,br BRA,MFFW,Cagliari,it Serie A,31,1990,0.7,41.4,50,82.9,728.6,84.3,20,21.4,93.3,18.6,22.9,81.3,1.43,2.86,50,0,0,0,0,0,1.43,0,1.43,Matches
860,Wuilker Faríñez\2c127b6f,ve VEN,GK,Lens,fr Ligue 1,23,1998,12.3,19.4,24.6,78.9,447.1,263.3,5.53,5.53,100,7.8,7.97,98,5.04,10.1,50,0,0,0,0,0.08,0,0,0,Matches
861,Ömer Faruk Beyaz\8307b663,tr TUR,FWDF,Stuttgart,de Bundesliga,17,2003,0.8,36.3,48.8,74.4,477.5,113.8,23.8,30,79.2,11.3,16.3,69.2,1.25,1.25,100,0,0,0,0,1.25,1.25,0,3.75,Matches
862,Noah Fatar\2693f6bc,fr FRA,DFMF,Angers,fr Ligue 1,19,2002,0.1,40,70,57.1,880,260,10,20,50,30,50,60,0,0,,0,0,0,0,10,0,0,10,Matches
863,Ansu Fati\0ba976e4,es ESP,FW,Barcelona,es La Liga,18,2002,3.7,36.8,44.3,82.9,461.6,76.8,23.5,26.8,87.9,9.46,11.4,83.3,1.08,1.62,66.7,0,0.19,-0.19,0.54,0.54,1.08,0,1.89,Matches
864,Julien Faussurier\767212e6,fr FRA,MFDF,Brest,fr Ligue 1,34,1987,5.4,36.9,49.3,74.8,710.6,261.7,17.8,20,88.9,11.9,16.1,73.6,6.3,10.4,60.7,0.19,0.11,0.07,2.22,1.48,2.41,1.3,5.19,Matches
865,Andrea Favilli\44510fde,it ITA,FW,Genoa,it Serie A,24,1997,0.4,12.5,15,83.3,165,0,10,10,100,2.5,2.5,100,0,0,,0,0,0,0,0,0,0,0,Matches
866,Federico Fazio\4e358a2d,ar ARG,DF,Salernitana,it Serie A,34,1987,15.9,32.6,39.3,82.9,647.9,234.6,11.2,12.7,88.1,17,19.4,87.7,4.03,6.29,64,0,0.01,-0.01,0.38,2.77,0.31,0.06,2.58,Matches
867,Aleix Febas\38126309,es ESP,MF,Mallorca,es La Liga,25,1996,1.3,38.5,43.1,89.3,729.2,149.2,16.2,19.2,84,13.1,13.8,94.4,6.92,6.92,100,0,0.08,-0.08,0.77,4.62,0.77,0,3.85,Matches
868,Adrian Fein\60097ff6,de GER,MF,Greuther Fürth,de Bundesliga,22,1999,0.4,15,22.5,66.7,292.5,45,5,7.5,66.7,10,10,100,0,5,0,0,0,0,2.5,0,0,0,0,Matches
869,Nabil Fekir\bece776f,fr FRA,MF,Betis,es La Liga,28,1993,31,39.2,48.6,80.7,667.9,215.5,19.8,21.4,92.6,13,15.2,85.7,4.58,8.68,52.8,0.26,0.22,0.04,2.68,3.68,1.35,0.1,4.48,Matches
870,Felipe\51a3c4c8,br BRA,DF,Atlético Madrid,es La Liga,32,1989,16.7,39.5,47.5,83.1,807.5,260.2,12.8,14.1,91.1,19.5,21.8,89.6,6.17,9.82,62.8,0.06,0.02,0.04,0.3,1.8,0.06,0,1.92,Matches
871,Luiz Felipe\15d0c248,it ITA,DF,Lazio,it Serie A,24,1997,27.7,60.4,65.6,92,1188.5,399.7,20.3,21.8,93.2,30.6,32.3,94.6,8.16,9.78,83.4,0,0,0,0.07,3.25,0.11,0,2.67,Matches
872,Ohis Felix Uduokhai\677da306,de GER,DF,Augsburg,de Bundesliga,23,1997,8.7,38,47.6,80,832.3,288.5,11.1,13.3,83.6,20.1,22.3,90.2,6.55,11.3,58.2,0,0,0,0.11,2.99,0.46,0,2.76,Matches
873,João Félix\8aafd64f,pt POR,FWMF,Atlético Madrid,es La Liga,21,1999,14,24.4,32.9,74.3,397.3,120.4,14.6,16.8,86.8,6.5,9,72.2,2.64,5,52.9,0.29,0.26,0.02,1.36,2.64,1.86,0.21,3,Matches
874,Kiko Femenía\e5d01ecf,es ESP,DF,Watford,eng Premier League,30,1991,23.8,36,50.3,71.6,608,286.8,18.4,20.8,88.5,14.5,19.7,73.9,2.61,7.98,32.6,0.21,0.13,0.08,1.01,2.14,0.71,0.38,3.32,Matches
875,Evan Ferguson\4596da74,ie IRL,MF,Brighton,eng Premier League,16,2004,0.3,20,23.3,85.7,326.7,16.7,10,13.3,75,3.33,3.33,100,3.33,3.33,100,0,0,0,0,0,3.33,3.33,0,Matches
876,Nathan Ferguson\2f8d27bc,eng ENG,DF,Crystal Palace,eng Premier League,20,2000,0.1,30,50,60,230,200,10,10,100,0,0,,0,20,0,0,0,0,0,0,0,0,0,Matches
877,Bruno Fernandes\507c7bdf,pt POR,MF,Manchester Utd,eng Premier League,26,1994,34.6,44,58.5,75.3,857.5,247.9,19.7,22.8,86.5,16.4,20.1,81.5,7.11,13.1,54.3,0.17,0.24,-0.07,2.54,4.48,2.46,0.43,5.66,Matches
878,Edimilson Fernandes\3bb625ac,ch SUI,DFFW,Arminia,de Bundesliga,25,1996,3.1,30,40,75,548.4,210.6,15.2,16.5,92.2,10.3,13.5,76.2,3.87,7.1,54.5,0,0.1,-0.1,1.94,1.94,2.26,0.97,4.52,Matches
879,Aitor Fernández\a01c3d54,es ESP,GK,Levante,es La Liga,30,1991,13,20.5,29.3,70.1,619.6,420.8,3.08,3.08,100,8.69,8.92,97.4,8.08,16.6,48.6,0,0,0,0,0.15,0.08,0,0.08,Matches
880,Álex Fernández\aa677a35,es ESP,MF,Cádiz,es La Liga,28,1992,22.8,35.8,44.9,79.8,708.7,202.3,15.3,17,89.9,13.7,16,86,6.27,10.3,60.9,0.09,0.07,0.02,0.79,3.99,0.66,0.22,4.17,Matches
881,Álvaro Fernández\f127d782,es ESP,GK,Brentford,eng Premier League,23,1998,12,26.8,41.7,64.4,784.4,441.7,5.33,5.5,97,12.3,12.5,98,9.17,23.6,38.9,0,0,0,0,0.83,0,0,0.08,Matches
882,Federico Fernández\f25b010f,ar ARG,DF,Newcastle Utd,eng Premier League,32,1989,5.8,31.6,36.9,85.5,724,259.1,7.07,7.93,89.1,18.8,19.7,95.6,5.69,9.14,62.3,0,0.05,-0.05,0.17,2.07,0,0,1.38,Matches
883,Fernandinho\101da2b5,br BRA,MFDF,Manchester City,eng Premier League,36,1985,10.7,68.2,75.3,90.6,1315.2,340.5,26.5,28.3,93.7,31.6,33.5,94.4,9.07,12.1,75.2,0.09,0.08,0.01,0.93,7.85,1.78,0.09,5.51,Matches
884,Fernando\41f32541,br BRA,MFDF,Sevilla,es La Liga,34,1987,20.6,54.4,60.6,89.8,1203,253.1,16.4,17.6,93.1,26.6,28.1,94.8,11,13.7,80.5,0.05,0.01,0.03,0.24,3.16,0.24,0,2.48,Matches
885,Alex Ferrari\d0dbca9f,it ITA,DF,Sampdoria,it Serie A,27,1994,18.3,37.6,44.4,84.6,824.6,232.5,8.36,9.84,85,21.7,23.6,92.1,6.89,9.73,70.8,0,0,0,0.11,1.86,0.22,0,2.02,Matches
886,Salvador Ferrer\eb76987d,es ESP,DFMF,Spezia,it Serie A,23,1998,16.6,35.4,45.4,78,700.8,245.1,14.1,16.5,85.4,15.2,18.4,82.4,5.84,9.04,64.7,0.18,0.11,0.07,1.02,2.71,1.08,0.66,3.13,Matches
887,Jordan Ferri\375622c5,fr FRA,MF,Montpellier,fr Ligue 1,29,1992,32.3,65,77.5,83.9,1349.8,435.7,23.7,26.3,90,27.5,30.7,89.4,12.5,17.8,70.1,0.06,0.08,-0.02,0.9,6.66,0.87,0.15,6.53,Matches
888,Riccardo Fiamozzi\9f9b9269,it ITA,DF,Empoli,it Serie A,28,1993,6.9,42.3,56.2,75.3,830.9,389.3,17.1,19.4,88.1,18.7,22.6,82.7,6.09,10.9,56,0.14,0.07,0.07,0.72,2.75,0.87,0.29,5.51,Matches
889,Fidel\eb82b6f1,es ESP,MFFW,Elche,es La Liga,31,1989,25.1,32.4,43.6,74.2,544.7,212.6,17.5,20.4,85.8,10.3,13,78.9,3.82,7.85,48.7,0.24,0.2,0.04,1.59,3.39,0.84,0.36,4.46,Matches
890,Karol Fila\50ac8941,pl POL,DF,Strasbourg,fr Ligue 1,23,1998,6.2,48.1,61.8,77.8,780.2,336.9,25.6,28.2,90.9,18.1,23.7,76.2,3.71,7.42,50,0,0.11,-0.11,0.48,1.94,1.77,0.32,5.65,Matches
891,Alfreð Finnbogason\f9e7c4ac,is ISL,FWMF,Augsburg,de Bundesliga,32,1989,3.2,13.4,22.2,60.6,219.1,66.9,7.19,10.9,65.7,5,7.19,69.6,1.25,1.88,66.7,0.31,0.25,0.06,0.94,1.25,0,0,1.88,Matches
892,Luca Fiordilino\9bb1ad91,it ITA,MF,Venezia,it Serie A,25,1996,7.3,34.4,40.4,85.1,623.2,131.2,15.5,17.3,89.7,14.1,15.6,90.4,3.97,5.48,72.5,0,0.04,-0.04,0.68,2.19,0.55,0.41,2.19,Matches
893,Vincenzo Fiorillo\a2565f79,it ITA,GK,Salernitana,it Serie A,31,1990,1,23,31,74.2,955,675,0,0,,7,7,100,16,24,66.7,0,0,0,0,0,0,0,0,Matches
894,Roberto Firmino\4c370d81,br BRA,FW,Liverpool,eng Premier League,29,1991,11,35.7,45.5,78.4,533.8,117.1,20.3,22.9,88.5,11.7,15.5,75.9,1.91,2.64,72.4,0.36,0.22,0.15,1.64,2.45,1,0.09,3.18,Matches
895,Junior Firpo\24f59bb2,es ESP,DF,Leeds United,eng Premier League,24,1996,19,40.8,49,83.2,701.5,256.2,18.8,21.2,88.8,18.5,21.3,86.9,3,5.32,56.4,0.11,0.14,-0.03,1.26,3.16,0.95,0.37,3.89,Matches
896,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,de Bundesliga,28,1993,32,28.5,41.7,68.3,1017.8,690.1,3.22,3.25,99,11.2,11.4,98.6,14,27,51.7,0,0,0,0.06,1.53,0.06,0,0.09,Matches
897,Ashley Fletcher\eeb6551f,eng ENG,FW,Watford,eng Premier League,25,1995,0.3,10,30,33.3,246.7,93.3,0,20,0,6.67,6.67,100,3.33,3.33,100,0,0,0,0,6.67,0,0,3.33,Matches
898,Alexis Flips\caef7840,fr FRA,FWMF,Reims,fr Ligue 1,21,2000,11.7,26.4,42.7,61.8,500.5,196.4,11.7,13.7,85.6,10.6,15.2,69.7,3.76,11.1,33.8,0.34,0.19,0.15,2.31,1.62,1.03,0.6,2.65,Matches
899,Alessandro Florenzi\e288d4b3,it ITA,DFFW,Milan,it Serie A,30,1991,12.8,50.8,62.9,80.7,1022.3,352.6,18,19.3,93.1,23.4,25.9,90.3,8.2,14.8,55.3,0,0.09,-0.09,0.94,4.53,2.19,0.63,4.92,Matches
900,Phil Foden\ed1e53f3,eng ENG,FW,Manchester City,eng Premier League,21,2000,23.6,37.5,46.4,80.7,611.4,129.7,21.3,23.4,90.8,12.1,14.4,84.1,3.39,6.48,52.3,0.21,0.28,-0.07,1.69,2.12,1.69,0.42,3.22,Matches
901,Mamadou Fofana\4c4ffacc,ml MLI,DF,Metz,fr Ligue 1,23,1998,0.4,7.5,10,75,205,147.5,2.5,2.5,100,2.5,2.5,100,2.5,5,50,0,0,0,0,0,0,0,0,Matches
902,Seko Fofana\5313ed43,ci CIV,MF,Lens,fr Ligue 1,26,1995,37.3,42.8,48.8,87.7,721.3,124.6,21.7,23.8,91.5,16.5,18.3,90.5,3.73,5.01,74.3,0.03,0.1,-0.07,1.07,2.2,1.29,0.19,3.06,Matches
903,Wesley Fofana\132a82f1,fr FRA,DF,Leicester City,eng Premier League,20,2000,7,64.6,72,89.7,1396.3,340,15.4,16.4,93.9,36.4,39.1,93.1,12,14.9,80.8,0,0,0,0.29,3.43,0,0,2.14,Matches
904,Youssouf Fofana\822d51d7,fr FRA,MF,Monaco,fr Ligue 1,22,1999,24.3,37.9,49.3,76.8,705.6,193.9,16.3,19.3,84,16.1,19.7,82,4.73,8.44,56.1,0.16,0.11,0.06,0.86,5.06,1.07,0.08,5.51,Matches
905,Thomas Foket\90eb507d,be BEL,DFMF,Reims,fr Ligue 1,26,1994,24.8,34.7,44.2,78.6,635.3,241.1,15.3,16.9,90.9,15,18.3,81.9,3.79,7.06,53.7,0,0.09,-0.09,0.89,1.73,0.97,0.56,2.98,Matches
906,Thomas Fontaine\9f90c06b,mg MAD,DF,Lorient,fr Ligue 1,30,1991,1.9,23.7,27.9,84.9,587.9,226.8,3.68,3.68,100,14.2,16.8,84.4,5.79,5.79,100,0,0,0,0,2.11,0.53,0,2.11,Matches
907,José Fontán\1827a42d,es ESP,DF,Celta Vigo,es La Liga,21,2000,3.1,55.5,65.8,84.3,1248.7,275.5,14.5,17.1,84.9,29,32.3,90,11.9,16.5,72.5,0,0.03,-0.03,0.65,0.97,0.65,0.65,1.61,Matches
908,José Fonte\90f87966,pt POR,DF,Lille,fr Ligue 1,37,1983,38,47.8,55,86.8,1093.4,314.9,11.9,13.8,86.8,24.5,26.4,92.9,10.8,13.9,78.2,0.05,0.02,0.03,0.21,2.87,0.18,0.05,2.66,Matches
909,Fernando Forestieri\d60c26fc,it ITA,FWMF,Udinese,it Serie A,31,1990,0.6,26.7,38.3,69.6,380,140,16.7,16.7,100,10,11.7,85.7,0,8.33,0,1.67,0.17,1.5,1.67,3.33,1.67,0,6.67,Matches
910,Pablo Fornals\82927de4,es ESP,FWMF,West Ham,eng Premier League,25,1996,31.1,33.3,44.4,75,608.8,196.1,15.4,17.6,87.2,12.8,16.2,78.9,4.28,7.94,53.8,0.1,0.18,-0.08,1.51,3.47,1.7,0.35,5.21,Matches
911,Emil Forsberg\9a2e0ccc,se SWE,MFFW,RB Leipzig,de Bundesliga,29,1991,19,33.5,40.7,82.4,534.2,136.9,18.8,21.4,87.9,11.3,12.7,89.2,2.84,5.11,55.7,0.11,0.19,-0.08,1.26,2.95,1.68,0.11,4.58,Matches
912,Adam Forshaw\9f1938ab,eng ENG,MF,Leeds United,eng Premier League,29,1991,17,39.9,47.6,83.7,741.8,188.6,18.5,20.5,90.5,14.6,17,85.8,5.59,7.82,71.4,0.06,0.06,-0.01,0.76,3.47,0.47,0,3.59,Matches
913,Marcus Forss\82c215a0,fi FIN,FWMF,Brentford,eng Premier League,22,1999,2.3,10.4,17.8,58.5,165.2,47.8,6.96,9.57,72.7,1.3,4.78,27.3,1.74,2.61,66.7,0.43,0,0.43,0,1.74,0.43,0,2.17,Matches
914,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,eng Premier League,33,1988,19,18.3,31.4,58.2,646,420,2.32,2.37,97.8,7.68,7.89,97.3,8.21,21,39.1,0,0,0,0,0.42,0,0,0,Matches
915,Philipp Förster\76fa965f,de GER,FWMF,Stuttgart,de Bundesliga,26,1995,10.7,34.9,40.1,86.9,554.3,126.2,18.9,21,89.8,13.1,14.7,89.2,2.24,2.52,88.9,0.09,0.07,0.02,0.65,2.9,1.31,0.28,3.18,Matches
916,Francesco Forte\69e11a01,it ITA,FW,Venezia,it Serie A,28,1993,4.7,11.7,16.4,71.4,166.8,27,6.6,8.3,79.5,4.68,6.6,71,0,0.21,0,0,0.02,-0.02,0.64,0.43,0.21,0,1.06,Matches
917,Steven Fortes\574aa9ec,cv CPV,DF,Lens,fr Ligue 1,29,1992,1,25,29,86.2,613,170,5,7,71.4,12,12,100,8,10,80,0,0,0,0,0,0,0,2,Matches
918,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,eng Premier League,38,1983,26,16,33.4,48,716.8,544.4,0.88,0.92,95.8,4.73,4.88,96.9,10.4,27.6,37.7,0.04,0.01,0.03,0.08,1.31,0.08,0,0,Matches
919,Tariqe Fosu\3dcef539,gh GHA,DF,Brentford,eng Premier League,25,1995,0.2,30,40,75,550,65,10,10,100,15,20,75,5,10,50,0,0,0,0,0,0,0,5,Matches
920,Timothy Fosu-Mensah\a9142dc3,nl NED,DF,Leverkusen,de Bundesliga,23,1998,1.6,45,57.5,78.3,795.6,342.5,21.9,24.4,89.7,18.8,24.4,76.9,3.75,6.25,60,0,0.13,-0.13,0.63,2.5,1.88,1.25,0.63,Matches
921,Dimitri Foulquier\45e17712,fr FRA,DF,Granada,es La Liga,28,1993,2,26,38,68.4,370,194,15.5,17.5,88.6,8.5,11,77.3,1.5,5,30,0,0,0,0.5,2,0.5,0.5,2.5,Matches
922,Dimitri Foulquier\45e17712,fr FRA,DF,Valencia,es La Liga,28,1993,26,27.1,38.7,70,522.7,235.1,11,13,84.3,11.8,15.7,75.2,3.81,8.08,47.1,0.04,0.03,0.01,0.38,2.62,0.46,0.19,2.81,Matches
923,Juan Foyth\6c7762c3,ar ARG,DF,Villarreal,es La Liga,23,1998,21.4,46.7,55.1,84.7,863,339.9,19,21.1,90.2,22.8,26.1,87.1,4.53,6.54,69.3,0.05,0.08,-0.04,0.51,3.41,0.56,0.05,3.79,Matches
924,Gianluca Frabotta\d80b1835,it ITA,DFFW,Hellas Verona,it Serie A,22,1999,0.2,20,45,44.4,255,210,5,20,25,10,20,50,0,0,,0,0,0,0,0,5,0,10,Matches
925,Raphael Framberger\626fab5f,de GER,DF,Augsburg,de Bundesliga,25,1995,9.4,31.4,47.4,66.1,577.8,296.6,14.9,18.5,80.5,11.1,16,69.3,4.79,10.6,45,0,0.06,-0.06,1.28,2.77,2.13,1.06,4.57,Matches
926,Przemysław Frankowski\00a8d210,pl POL,DF,Lens,fr Ligue 1,26,1995,27.2,43.3,53,81.8,734.9,225.6,21.4,24.3,88,17.6,20.8,84.8,3.6,5.7,63.2,0.18,0.15,0.04,1.43,1.69,1.29,0.44,3.75,Matches
927,Enric Franquesa\40883e3a,es ESP,DF,Levante,es La Liga,24,1997,6.9,30.4,39.7,76.6,494.8,162.6,14.8,16.7,88.7,13.6,17.5,77.7,1.74,3.33,52.2,0,0.01,-0.01,0.43,1.88,0.87,0.29,2.03,Matches
928,Fransérgio\deba6b05,br BRA,MF,Bordeaux,fr Ligue 1,30,1990,14,27.6,38.4,71.7,590.1,136.9,10.6,13.5,78.8,10.8,14.6,73.7,5.79,8.79,65.9,0.07,0.02,0.05,0.43,2.93,0.29,0,2.43,Matches
929,Ryan Fraser\d56543a0,sct SCO,FWMF,Newcastle Utd,eng Premier League,27,1994,16.3,20.4,29.3,69.7,349.6,109.4,10.9,12.8,84.7,6.56,9.63,68.2,2.45,5.64,43.5,0.18,0.13,0.05,1.53,0.98,1.35,0.8,1.6,Matches
930,Davide Frattesi\2a7d27c1,it ITA,MF,Sassuolo,it Serie A,21,1999,31.7,33.4,39.9,83.7,580.5,135.9,16.6,18.8,88.3,12.8,14.9,86.2,3.38,4.45,75.9,0.09,0.11,-0.02,0.82,2.68,0.76,0.13,3.47,Matches
931,Fred\b853e0ad,br BRA,MF,Manchester Utd,eng Premier League,28,1993,22.5,49.9,58.7,85.1,936.9,233.7,21.2,24.1,88.2,21.2,23.9,89,6.53,8.22,79.5,0.18,0.09,0.09,1.16,5.2,0.58,0.04,4.8,Matches
932,Ryan Fredericks\c067631c,eng ENG,DF,West Ham,eng Premier League,28,1992,3.4,33.5,43.2,77.6,506.5,131.5,19.1,21.5,89,13.2,16.8,78.9,0.88,2.94,30,0,0.03,-0.03,0.59,0.59,0.59,0.29,1.18,Matches
