,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
117,Jesús Areso\94e01ec6,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,23.3,35.2,66.2,489,246.7,7.62,8.1,94.1,11.4,18.1,63.2,4.29,9.05,47.4,0,0,0,0.48,1.9,0,0,1.43,Matches
118,Matias Arezo\484ebdb0,uy URU,FW,Granada,es La Liga,18,2002,1.8,12.8,21.7,59,175.6,76.7,8.33,12.8,65.2,3.33,5.56,60,0.56,1.11,50,0,0.17,-0.17,2.22,2.22,0.56,0,1.67,Matches
119,Santiago Arias\fdd60087,co COL,DF,Granada,es La Liga,29,1992,4.9,33.5,45.5,73.5,600.6,262.2,12.9,15.7,81.8,16.3,21.6,75.5,3.67,6.73,54.5,0,0.08,-0.08,1.02,2.04,0.82,0.61,2.86,Matches
120,Adam Armstrong\68c720b5,eng ENG,FW,Southampton,eng Premier League,24,1997,15.7,14.2,20.1,70.8,239.7,38.8,6.75,8.66,77.9,6.11,8.09,75.6,1.02,2.04,50,0.13,0.11,0.02,0.76,0.89,0.83,0,1.66,Matches
121,Stuart Armstrong\97333cf5,sct SCO,MF,Southampton,eng Premier League,29,1992,16.4,35.5,44.8,79.4,569.2,139.8,18.5,22.3,83.1,13.3,15.5,85.8,2.62,4.21,62.3,0,0.09,-0.09,1.52,2.38,1.46,0.3,4.15,Matches
122,Marko Arnautović\00459419,at AUT,FW,Bologna,it Serie A,32,1989,29.9,22.8,31,73.7,333.5,54.1,12.9,16.9,76.8,7.69,9.87,78,1.17,1.81,64.8,0.03,0.15,-0.11,1.47,0.9,0.74,0.07,1.74,Matches
123,Maximilian Arnold\86e119e0,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33.3,43.4,55.5,78.2,997.6,318.2,12.6,14.4,87.3,19.2,21.3,90.3,10.8,18.2,59.3,0.06,0.14,-0.08,1.8,4.41,0.99,0.15,4.59,Matches
124,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,eng Premier League,26,1994,4,28.8,34.8,82.7,690.8,323.5,7,7,100,14.8,14.8,100,6.75,12.8,52.9,0,0,0,0,0.25,0,0,0,Matches
125,Tolgay Arslan\963a328b,de GER,MF,Udinese,it Serie A,30,1990,18.4,29.7,37,80.3,542,136.3,12.8,14.8,86.1,12.5,14.4,86.8,3.64,5.76,63.2,0,0.09,-0.09,0.92,3.53,0.43,0.05,3.1,Matches
126,Arthur\a820e429,br BRA,FW,Fiorentina,it Serie A,23,1998,8.3,13.7,17.3,79.2,243.4,30,7.11,8.43,84.3,5.06,6.14,82.4,1.33,1.81,73.3,0.24,0.04,0.2,0.72,0.96,0.36,0,0.96,Matches
