,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
636,Vladimír Darida\3eb0f2df,cz CZE,MF,Hertha BSC,de Bundesliga,30,1990,19.8,1.92,1.16,1.01,0.45,0.45,0.56,1.36,40.7,0.81,17.5,5.76,32.9,5.35,8.54,3.59,1.52,0.25,0,1.26,1.52,3.43,1.31,0.05,Matches
637,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,eng Premier League,30,1990,8,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0.13,0,Matches
638,Matteo Darmian\96e0490d,it ITA,DF,Inter,it Serie A,31,1989,16.7,1.8,1.32,1.08,0.42,0.3,0.78,1.98,39.4,1.2,12.4,3.83,30.9,4.67,4.19,3.53,1.44,0,0,1.44,1.2,2.99,1.14,0,Matches
639,Josh Dasilva\60344e4f,eng ENG,MFFW,Brentford,eng Premier League,22,1998,2.9,1.38,0.69,0.34,0.34,0.69,0.69,2.07,33.3,1.38,19,4.14,21.8,4.83,9.66,4.48,2.76,0.34,0,2.41,1.38,2.76,2.41,0,Matches
640,Jonathan David\ce50fd99,ca CAN,FW,Lille,fr Ligue 1,21,2000,31.2,0.87,0.61,0.16,0.38,0.32,0.35,0.99,35.5,0.64,18.1,5.16,28.4,1.89,7.63,8.62,0.58,0.16,0,0.42,0.38,1.25,0.32,0,Matches
641,Alphonso Davies\d781d855,ca CAN,DF,Bayern Munich,de Bundesliga,20,2000,19.3,2.18,1.3,1.19,0.73,0.26,0.88,2.18,40.5,1.3,15.6,5.6,35.8,5.85,5.08,4.72,2.28,0.05,0,2.23,2.18,4.35,0.73,0,Matches
642,Ben Davies\44781702,wls WAL,DF,Tottenham,eng Premier League,28,1993,28.2,1.42,0.64,0.64,0.53,0.25,0.43,1.21,35.3,0.78,9.54,3.05,32,4.72,3.26,1.56,1.38,0.64,0.07,0.74,1.6,3.01,3.3,0,Matches
643,Tom Davies\9228b07c,eng ENG,MF,Everton,eng Premier League,23,1998,2.6,1.54,0.77,0.38,0.77,0.38,0.38,1.92,20,1.54,18.8,5,26.5,7.31,8.08,3.46,1.54,0.38,0,1.15,3.08,4.62,2.69,0,Matches
644,Keinan Davis\9deaf2c8,eng ENG,FW,Aston Villa,eng Premier League,23,1998,0.1,0,0,0,0,0,0,0,,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,Matches
645,Paweł Dawidowicz\16bb656a,pl POL,DF,Hellas Verona,it Serie A,26,1995,13.3,2.33,1.5,1.2,0.68,0.45,0.98,1.5,65,0.53,16.4,5.64,34.4,8.35,6.24,1.8,1.8,0.83,0,0.98,1.65,3.98,4.36,0.08,Matches
646,Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,eng Premier League,31,1990,30.6,1.08,0.69,0.65,0.42,0,0.39,0.88,44.4,0.49,6.5,2.19,33.7,4.12,2.09,0.29,2.16,1.8,0,0.36,0.98,2.06,4.74,0.03,Matches
647,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,eng Premier League,30,1991,24.5,0.9,0.57,0.12,0.41,0.37,0.41,1.67,24.4,1.27,14.7,4,27.1,1.88,6.08,6.78,1.39,0.08,0,1.31,0.57,1.47,0.73,0,Matches
648,Konrad De La Fuente\4b77bb89,us USA,FWDF,Marseille,fr Ligue 1,20,2001,8.7,0.92,0.92,0.57,0.34,0,0.8,1.03,77.8,0.23,14.7,4.14,28.1,2.76,6.67,5.29,1.61,0,0,1.61,0.69,1.61,0.46,0,Matches
649,Sebastien De Maio\952a03fe,fr FRA,DF,Udinese,it Serie A,34,1987,2,3,1,2.5,0.5,0,0.5,4.5,11.1,4,17,6,35.3,10.5,5.5,1,3,2.5,0,0.5,2.5,5.5,3,0,Matches
650,Tommaso De Nipoti\7f9d956a,it ITA,MF,Atalanta,it Serie A,18,2003,0.1,0,0,0,0,0,0,0,,0,40,0,0,0,30,10,0,0,0,0,0,0,0,0,Matches
651,Rodrigo De Paul\162efffd,ar ARG,MF,Atlético Madrid,es La Liga,27,1994,23.9,2.34,1.26,0.92,1.05,0.38,0.96,2.09,46,1.13,21.1,5.15,24.4,5.77,11.8,3.6,1.46,0.13,0,1.34,1.3,3.64,0.79,0,Matches
652,Mattia De Sciglio\ae4e2852,it ITA,DF,Juventus,it Serie A,28,1992,13,1.54,0.85,0.46,0.62,0.46,0.54,1.62,33.3,1.08,10.5,2.54,24.1,5,3.31,2.23,2,0.08,0,1.92,2,3.54,2.92,0,Matches
653,Lorenzo De Silvestri\e74f0e59,it ITA,DF,Bologna,it Serie A,33,1988,25.5,1.14,0.51,0.75,0.35,0.04,0.43,1.33,32.4,0.9,9.92,2.86,28.9,4.31,3.57,2.04,2.04,0.31,0,1.73,1.18,2.31,2.12,0.08,Matches
654,Saulo Decarli\41df88b8,ch SUI,DF,Bochum,de Bundesliga,29,1992,0.1,0,0,0,0,0,0,0,,0,30,30,100,20,0,10,0,0,0,0,0,0,0,0,Matches
655,Troy Deeney\82e34b69,eng ENG,FW,Watford,eng Premier League,33,1988,0.3,0,0,0,0,0,0,3.33,0,3.33,23.3,6.67,28.6,3.33,6.67,13.3,0,0,0,0,0,0,10,0,Matches
656,Grégoire Defrel\854ee61a,mq MTQ,FW,Sassuolo,it Serie A,30,1991,15.1,1.32,1.06,0.4,0.66,0.26,0.26,0.79,33.3,0.53,19,5.83,30.7,2.12,7.62,9.27,0.79,0.13,0,0.66,0.4,1.72,0.66,0,Matches
657,Alessandro Deiola\7f267d66,it ITA,MF,Cagliari,it Serie A,25,1995,23.7,1.81,1.05,0.63,1.14,0.04,0.51,2.11,24,1.6,17.6,4.47,25.4,5.23,9.11,3.29,1.73,0.42,0,1.31,1.56,3.38,1.56,0,Matches
658,Romain Del Castillo\0be95d34,fr FRA,MFFW,Rennes,fr Ligue 1,25,1996,0.3,6.67,3.33,0,3.33,3.33,6.67,6.67,100,0,30,3.33,11.1,3.33,23.3,3.33,3.33,0,0,3.33,3.33,10,0,0,Matches
659,Romain Del Castillo\0be95d34,fr FRA,MFFW,Brest,fr Ligue 1,25,1996,10.8,2.41,1.57,0.37,1.57,0.46,1.02,2.69,37.9,1.67,23.5,7.69,32.7,4.17,12.2,7.13,1.39,0,0,1.39,1.2,3.61,0.37,0,Matches
660,Thomas Delaine\8332db56,fr FRA,DF,Metz,fr Ligue 1,29,1992,25.7,2.18,1.09,1.32,0.58,0.27,0.7,1.48,47.4,0.78,13.5,3.74,27.6,6.19,4.55,2.8,1.01,0.23,0.04,0.78,1.63,3.81,1.13,0,Matches
661,Thomas Delaney\fe641c1a,dk DEN,MF,Sevilla,es La Liga,29,1991,17.2,2.5,1.4,1.1,1.22,0.17,0.52,1.4,37.5,0.87,15.5,4.42,28.5,5.64,8.37,1.51,1.74,0.76,0,0.99,1.22,3.72,2.09,0.06,Matches
662,Thomas Delaney\fe641c1a,dk DEN,MF,Dortmund,de Bundesliga,29,1991,0.2,0,0,0,0,0,0,0,,0,10,0,0,0,10,0,0,0,0,0,5,5,0,0,Matches
663,Liam Delap\dd897ee7,eng ENG,FW,Manchester City,eng Premier League,18,2003,0.1,0,0,0,0,0,0,10,0,10,20,0,0,0,10,10,0,0,0,0,0,0,0,0,Matches
664,Sacha Delaye\e4448c8c,fr FRA,MFFW,Montpellier,fr Ligue 1,19,2002,2.9,2.41,1.03,0.69,0.69,1.03,1.03,3.1,33.3,2.07,27.9,5.17,18.5,7.93,12.8,7.24,0.34,0,0,0.34,0.69,3.1,0.69,0,Matches
665,Filippo Delli Carri\d2e8fd9b,it ITA,DF,Salernitana,it Serie A,22,1999,3.7,2.97,1.35,2.43,0.54,0,1.89,3.78,50,1.89,17.8,2.43,13.6,12.2,4.86,0.81,2.7,0.81,0,1.89,1.89,4.86,3.51,0,Matches
666,Andy Delort\d33c706e,dz ALG,FW,Nice,fr Ligue 1,29,1991,27.2,0.55,0.37,0.11,0.26,0.18,0.18,0.51,35.7,0.33,12.4,3.53,28.6,1.14,4.63,6.58,0.66,0.15,0,0.51,0.48,1.03,0.48,0,Matches
667,Andy Delort\d33c706e,dz ALG,FW,Montpellier,fr Ligue 1,29,1991,3,0.67,0.67,0.33,0,0.33,0,0.33,0,0.33,8.67,1.33,15.4,2,3,3.67,1,0,0,1,0,0.67,2,0,Matches
668,Fabian Delph\111c3236,eng ENG,MF,Everton,eng Premier League,31,1989,7.4,2.57,1.76,1.08,1.22,0.27,0.81,2.97,27.3,2.16,17.2,5.27,30.7,4.73,10.4,2.03,1.76,0.68,0,1.08,2.57,5.14,1.22,0,Matches
669,Moussa Dembélé\e7986081,fr FRA,FW,Lyon,fr Ligue 1,25,1996,24.5,0.69,0.45,0.08,0.2,0.41,0.2,0.49,41.7,0.29,12.9,3.63,28.3,0.78,5.02,7.06,0.98,0.16,0,0.82,0.33,1.02,1.02,0,Matches
670,Ousmane Dembélé\b19db005,fr FRA,FW,Barcelona,es La Liga,24,1997,15.7,1.66,1.21,0.51,0.7,0.45,0.51,1.46,34.8,0.96,15,4.14,27.5,3.12,6.5,5.41,0.7,0,0,0.7,0.83,2.48,0.06,0,Matches
671,Yusuf Demir\fa265f6d,at AUT,FW,Barcelona,es La Liga,18,2003,2.1,0.95,0.48,0.95,0,0,0,1.9,0,1.9,18.6,9.05,48.7,8.1,6.19,4.29,2.38,0,0,2.38,0,0.95,0.48,0,Matches
672,Merih Demiral\e3cceee6,tr TUR,DF,Atalanta,it Serie A,23,1998,21.3,1.88,1.17,1.08,0.7,0.09,0.52,0.94,55,0.42,16.2,6.48,39.9,8.12,7.42,0.7,1.92,0.7,0.05,1.22,2.58,4.46,4.04,0.05,Matches
673,Kerem Demirbay\54b4dc4e,de GER,MF,Leverkusen,de Bundesliga,28,1993,22.8,2.59,1.71,1.27,1.23,0.09,0.92,2.32,39.6,1.4,19.3,6.93,35.8,6.62,9.21,3.51,1.71,0.44,0,1.27,2.24,4.82,0.96,0,Matches
674,Ermedin Demirović\ed79b7d3,ba BIH,FWMF,Freiburg,de Bundesliga,23,1998,9.7,1.55,0.41,0.62,0.21,0.72,0.1,0.93,11.1,0.82,23.9,6.6,27.6,4.12,9.48,10.3,2.16,0.31,0,1.86,0.31,1.86,0.72,0,Matches
675,Diego Demme\dc3fa3b5,de GER,MF,Napoli,it Serie A,29,1991,7.7,2.47,1.82,1.04,0.91,0.52,1.43,3.38,42.3,1.95,28.7,7.14,24.9,9.22,14,5.45,1.82,0.26,0,1.56,1.56,4.03,0.52,0,Matches
676,Jason Denayer\47af88b8,be BEL,DF,Lyon,fr Ligue 1,26,1995,11.1,0.99,0.54,0.72,0.27,0,0.54,0.72,75,0.18,7.03,2.25,32.1,3.6,3.33,0.09,1.89,0.9,0.09,0.99,1.62,2.61,4.05,0.09,Matches
677,Leander Dendoncker\5a7301ae,be BEL,MF,Wolves,eng Premier League,26,1995,21.7,2.07,1.11,1.11,0.92,0.05,0.83,1.71,48.6,0.88,20.4,5.53,27.1,8.53,9.26,2.58,2.17,0.51,0,1.66,1.11,3.18,1.52,0,Matches
678,Emmanuel Dennis\2c44a35d,ng NGA,FWMF,Watford,eng Premier League,23,1997,28.7,1.6,0.98,0.84,0.49,0.28,0.45,1.46,31,1.01,19.6,5.09,25.9,4.32,8.68,6.62,1.22,0.07,0,1.15,0.87,2.47,0.49,0,Matches
679,Fabio Depaoli\d97f2e8d,it ITA,DF,Hellas Verona,it Serie A,24,1997,7.8,1.54,0.64,0.77,0.51,0.26,0.26,1.15,22.2,0.9,16.2,4.62,28.6,5.26,7.56,3.33,1.92,0.26,0,1.67,1.28,2.82,2.44,0,Matches
680,Fabio Depaoli\d97f2e8d,it ITA,MFDF,Sampdoria,it Serie A,24,1997,1.2,2.5,0,1.67,0.83,0,0,0.83,0,0.83,30,4.17,13.9,10.8,10.8,8.33,1.67,0.83,0,0.83,1.67,4.17,0.83,0,Matches
681,Memphis Depay\8f696594,nl NED,FW,Barcelona,es La Liga,27,1994,20.6,0.58,0.34,0.15,0.15,0.29,0.1,0.49,20,0.39,10.2,3.06,29.9,0.68,4.13,5.44,0.63,0.1,0,0.53,0.29,0.87,0.15,0,Matches
682,Mike van der Hoorn\25f50295,nl NED,DF,Arminia,de Bundesliga,28,1992,0.2,10,10,10,0,0,5,5,100,0,25,15,60,25,0,0,5,0,0,5,0,10,5,0,Matches
683,Arthur Desmas\e8c5dd4d,fr FRA,GK,Clermont Foot,fr Ligue 1,27,1994,14.5,0,0,0,0,0,0,0.21,0,0.21,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0.14,Matches
684,Sergiño Dest\5976f83e,us USA,DFFW,Barcelona,es La Liga,20,2000,16.8,2.14,1.43,1.31,0.6,0.24,1.13,1.67,67.9,0.54,14.1,4.88,34.6,6.25,4.58,3.27,1.55,0.24,0,1.31,1.01,3.15,0.83,0,Matches
685,Mattia Destro\d7d32194,it ITA,FW,Genoa,it Serie A,30,1991,19.4,0.72,0.41,0.1,0.26,0.36,0.15,0.26,60,0.1,13.8,4.12,29.9,0.93,5.93,6.96,0.93,0.1,0,0.82,0.31,1.03,0.82,0,Matches
686,Gerard Deulofeu\39583cfd,es ESP,FWMF,Udinese,it Serie A,27,1994,29.1,0.55,0.31,0.1,0.17,0.27,0.1,0.82,12.5,0.72,16.9,5.19,30.8,2.54,7.25,7.08,0.82,0,0,0.82,0.93,1.48,0.14,0,Matches
687,Kiernan Dewsbury Hall\5c74c0f5,eng ENG,MF,Leicester City,eng Premier League,22,1998,23.4,1.71,1.07,1.03,0.51,0.17,0.56,1.5,37.1,0.94,20,4.83,24.1,6.62,7.82,5.56,1.97,0.34,0,1.62,1.15,2.86,1.2,0.04,Matches
688,Jacopo Dezi\e921b9db,it ITA,MF,Venezia,it Serie A,29,1992,0.2,0,0,0,0,0,0,5,0,5,20,0,0,0,20,0,5,0,0,5,5,5,0,0,Matches
689,Samuel Di Carmine\ef94dc2f,it ITA,FW,Hellas Verona,it Serie A,32,1988,0.4,0,0,0,0,0,0,0,,0,5,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,Matches
690,Federico Di Francesco\1fca9171,it ITA,FWMF,Empoli,it Serie A,27,1994,15.2,0.92,0.66,0.07,0.46,0.39,0.26,1.38,19,1.12,18.4,5.13,27.9,2.63,7.89,7.89,1.18,0.13,0,1.05,0.72,1.64,0.53,0,Matches
691,Giovanni Di Lorenzo\230a2fac,it ITA,DF,Napoli,it Serie A,27,1993,31.9,2.16,1.35,1.41,0.56,0.19,1.03,1.94,53.2,0.91,11.9,4.26,35.7,5.17,4.33,2.45,1.54,0.34,0.03,1.19,1.44,3.61,1.13,0,Matches
692,Ángel Di María\19cda00b,ar ARG,FW,Paris S-G,fr Ligue 1,33,1988,18.3,1.64,0.98,0.44,0.77,0.44,0.66,2.24,29.3,1.58,14.6,4.26,29.2,2.4,4.59,7.6,0.87,0,0,0.87,0.98,2.62,0.16,0,Matches
693,Francesco Di Mariano\35a2557c,it ITA,FW,Venezia,it Serie A,25,1996,0.7,1.43,1.43,0,0,1.43,1.43,2.86,50,1.43,8.57,1.43,16.7,1.43,2.86,4.29,2.86,1.43,0,1.43,0,1.43,0,0,Matches
694,Francesco Di Tacchio\b5c3ff9f,it ITA,MF,Salernitana,it Serie A,31,1990,13.9,1.29,0.79,0.5,0.72,0.07,0.65,1.87,34.6,1.22,14.2,3.96,27.9,7.05,6.19,0.94,1.8,0.65,0,1.15,2.59,3.88,1.65,0,Matches
695,Boulaye Dia\244bc2c8,sn SEN,FW,Villarreal,es La Liga,24,1996,14.1,0.71,0.64,0.21,0.28,0.21,0.07,0.35,20,0.28,14.8,3.97,26.8,1.56,5.53,7.73,0.78,0.07,0,0.71,0.57,1.28,0.28,0,Matches
696,Moussa Diaby\aeed5c06,fr FRA,FWMF,Leverkusen,de Bundesliga,22,1999,30.7,0.62,0.36,0.26,0.23,0.13,0.16,1.24,13.2,1.07,11.2,2.64,23.5,2.08,5.8,3.32,0.39,0,0,0.39,0.68,1.3,0.1,0,Matches
697,Yadaly Diaby\5630a6e0,fr FRA,FWMF,Clermont Foot,fr Ligue 1,20,2000,0.7,0,0,0,0,0,0,1.43,0,1.43,25.7,10,38.9,4.29,10,11.4,0,0,0,0,4.29,4.29,1.43,0,Matches
698,Mouctar Diakhaby\d2110326,gn GUI,DF,Valencia,es La Liga,24,1996,21.6,2.13,1.48,1.2,0.79,0.14,0.83,1.2,69.2,0.37,11.2,3.89,34.9,5.51,4.95,0.69,2.31,0.93,0,1.39,2.59,4.72,4.91,0,Matches
699,Ibrahim Diakité\d8c19a60,fr FRA,MF,Reims,fr Ligue 1,17,2003,0,0,0,0,0,0,0,1,0,1,4,1,25,3,1,0,0,0,0,0,0,0,0,0,Matches
700,Abdou Diallo\fc62f087,sn SEN,DF,Paris S-G,fr Ligue 1,25,1996,9.7,2.47,1.86,1.24,0.93,0.31,0.93,1.75,52.9,0.82,12.2,4.54,37.3,4.12,5.57,2.47,1.44,0.31,0,1.13,1.34,3.81,2.06,0.1,Matches
701,Habib Diallo\6605d143,sn SEN,FW,Strasbourg,fr Ligue 1,26,1995,17.1,0.53,0.41,0,0.47,0.06,0.06,0.41,14.3,0.35,15.8,3.92,24.7,1.17,8.3,6.37,0.88,0.41,0,0.47,0.35,0.88,0.64,0,Matches
702,Ibrahima Diallo\11ff3d56,fr FRA,MF,Southampton,eng Premier League,22,1999,11.4,2.37,1.75,1.05,0.96,0.35,0.7,2.11,33.3,1.4,20.1,5.96,29.7,6.67,10,3.42,0.88,0,0,0.88,1.49,3.86,0.79,0,Matches
703,Mouhamadou Diarra\6d0fe035,sn SEN,MF,Strasbourg,fr Ligue 1,17,2004,1.2,3.33,2.5,2.5,0.83,0,0.83,0.83,100,0,18.3,5,27.3,6.67,10.8,0.83,0,0,0,0,2.5,5.83,1.67,0,Matches
704,Stéphane Diarra\29939a1d,fr FRA,FWMF,Lorient,fr Ligue 1,22,1998,5.8,2.24,1.55,1.03,0.86,0.34,0.52,1.55,33.3,1.03,17.9,5.52,30.8,3.79,9.66,4.48,0.69,0,0,0.69,1.72,3.97,0.17,0,Matches
705,Raphael Dias Belloli\3423f250,br BRA,FWMF,Leeds United,eng Premier League,24,1996,32.4,1.67,0.77,0.74,0.59,0.34,0.56,2.13,26.1,1.57,17.7,4.2,23.7,4.38,7.38,5.96,1.82,0.06,0,1.76,1.33,2.99,0.71,0,Matches
706,Rúben Dias\31c69ef1,pt POR,DF,Manchester City,eng Premier League,24,1997,26.7,1.27,1.01,0.45,0.67,0.15,0.26,0.6,43.8,0.34,5.73,2.55,44.4,2.13,2.92,0.67,1.05,0.49,0,0.56,1.42,2.7,2.92,0.04,Matches
707,Krepin Diatta\8104e41e,sn SEN,MFDF,Monaco,fr Ligue 1,22,1999,3.2,1.25,1.25,0.31,0.31,0.63,0.31,0.94,33.3,0.63,14.7,5,34,1.88,6.88,5.94,1.25,0,0,1.25,0.94,2.19,0,0,Matches
708,Amadou Diawara\bf309d24,gn GUI,MF,Roma,it Serie A,24,1997,1.9,2.11,1.05,1.58,0.53,0,1.05,2.11,50,1.05,15.8,3.68,23.3,10,5.26,0.53,1.05,0,0,1.05,0,2.11,1.05,0,Matches
709,Brahim Díaz\407feb71,es ESP,MF,Milan,it Serie A,21,1999,20.6,1.65,1.31,0.34,0.83,0.49,0.34,0.97,35,0.63,17.9,5.1,28.5,1.99,9.56,6.36,0.39,0.1,0,0.29,0.58,2.23,0.29,0,Matches
710,Javier Díaz\17a1299d,es ESP,GK,Sevilla,es La Liga,24,1997,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
711,Luis Díaz\4a1a9578,co COL,FW,Liverpool,eng Premier League,24,1997,10.6,1.13,0.94,0.38,0.38,0.38,0.28,0.94,30,0.66,15.4,5.57,36.2,2.45,6.04,6.89,0.85,0.09,0,0.75,0.38,1.51,0.19,0,Matches
712,Víctor Díaz\3624ce4c,es ESP,DF,Granada,es La Liga,33,1988,16.7,1.56,0.84,0.84,0.66,0.06,0.84,1.62,51.9,0.78,9.22,2.93,31.8,5.09,3.71,0.42,1.62,0.9,0,0.72,1.86,3.41,4.37,0,Matches
713,Daniel Didavi\d3096421,de GER,FWMF,Stuttgart,de Bundesliga,31,1990,3.1,2.58,0.32,0.32,1.61,0.65,0.65,1.94,33.3,1.29,22.9,5.81,25.4,4.19,8.39,10.3,0.65,0.32,0,0.32,0.32,2.9,0.32,0,Matches
714,Bamba Dieng\40774c6b,sn SEN,FWMF,Marseille,fr Ligue 1,21,2000,10.8,1.67,1.2,0.74,0.46,0.46,0.28,0.93,30,0.65,15.5,3.52,22.8,2.31,6.2,6.94,0.37,0,0,0.37,0.65,2.31,0.74,0,Matches
715,Eric Dier\ac861941,eng ENG,DF,Tottenham,eng Premier League,27,1994,34.1,0.73,0.38,0.32,0.32,0.09,0.12,0.38,30.8,0.26,5.31,2.05,38.7,2.73,2.32,0.26,1.64,1.11,0.03,0.53,1.38,2.11,4.93,0,Matches
716,Elhadji Dieye\6a04bb7c,sn SEN,MFFW,Saint-Étienne,fr Ligue 1,19,2002,0.4,10,5,7.5,2.5,0,2.5,5,50,2.5,32.5,10,30.8,12.5,15,5,5,0,0,5,5,15,0,0,Matches
717,Lucas Digne\1b84dbe1,fr FRA,DF,Aston Villa,eng Premier League,28,1993,14.1,1.35,0.71,0.85,0.28,0.21,0.5,1.28,38.9,0.78,11.1,2.41,21.7,5.25,3.69,2.2,2.06,0.57,0,1.49,2.27,3.62,2.98,0,Matches
718,Lucas Digne\1b84dbe1,fr FRA,DF,Everton,eng Premier League,28,1993,13,2.69,1.31,2,0.38,0.31,1.69,2.31,73.3,0.62,12.4,3.31,26.7,6.15,3.85,2.38,2.15,0.38,0,1.77,2.38,5.08,2.31,0,Matches
719,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,eng Premier League,30,1991,34,0.62,0.35,0.38,0.21,0.03,0.32,0.44,73.3,0.12,3.65,1.29,35.5,2.12,1.32,0.21,0.91,0.47,0.03,0.44,1.38,2,3.97,0.03,Matches
720,Mitchell Dijks\0a3065c8,nl NED,DF,Bologna,it Serie A,28,1993,7.7,2.86,1.82,1.69,0.65,0.52,1.43,2.47,57.9,1.04,19.2,4.16,21.6,9.61,6.23,3.38,1.56,0.26,0,1.3,1.17,4.03,0.91,0.13,Matches
721,Javairô Dilrosun\34a0f5ff,nl NED,MFFW,Bordeaux,fr Ligue 1,23,1998,19.2,0.73,0.52,0.16,0.31,0.26,0.31,1.41,22.2,1.09,13,3.54,27.3,2.45,6.25,4.27,0.99,0.1,0,0.89,1.25,1.98,0.16,0,Matches
722,Javairô Dilrosun\34a0f5ff,nl NED,FW,Hertha BSC,de Bundesliga,23,1998,1.5,2,0.67,0,2,0,0.67,2,33.3,1.33,24.7,4.67,18.9,4.67,14.7,5.33,0.67,0,0,0.67,1.33,3.33,0.67,0,Matches
723,Federico Dimarco\970b8574,it ITA,DF,Inter,it Serie A,23,1997,15.9,1.38,0.75,0.5,0.63,0.25,0.63,1.45,43.5,0.82,11.5,3.21,27.9,3.02,5.28,3.21,1.19,0.06,0,1.13,1.7,3.08,0.82,0,Matches
724,Landry Dimata\b5f63410,be BEL,FWMF,Espanyol,es La Liga,23,1997,6,0.5,0.33,0.17,0.17,0.17,0,0.33,0,0.33,15,4.17,27.8,1.17,7.5,6.33,0.33,0,0,0.33,0.5,1,1.17,0,Matches
725,Stole Dimitrievski\fc70e345,mk MKD,GK,Rayo Vallecano,es La Liga,27,1993,30.8,0,0,0,0,0,0,0,,0,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0.03,0.06,Matches
726,Junior Dina Ebimbe\95bb6ddc,fr FRA,MF,Paris S-G,fr Ligue 1,20,2000,3.5,2.29,1.71,0.86,1.14,0.29,0.57,1.71,33.3,1.14,25.7,6,23.3,8.86,8.86,8,0.86,0.57,0,0.29,1.14,3.43,0.86,0,Matches
727,Tristan Dingomé\92b56413,cm CMR,MFFW,Troyes,fr Ligue 1,30,1991,12,1.83,1,0.5,0.83,0.5,0.25,1.58,15.8,1.33,16,4.5,28.1,3.33,8.33,4.33,0.67,0.08,0,0.58,1.42,3.25,0.25,0,Matches
728,Sinaly Diomande\6de23ab0,ci CIV,DF,Lyon,fr Ligue 1,20,2001,6.4,1.09,0.63,0.78,0.31,0,0.78,1.41,55.6,0.63,5.47,1.88,34.3,2.5,2.97,0,1.41,1.09,0.16,0.31,2.81,3.91,5.78,0,Matches
729,Issa Diop\a712ca2b,fr FRA,DF,West Ham,eng Premier League,24,1997,10.7,0.84,0.28,0.37,0.47,0,0.19,0.93,20,0.75,6.73,2.62,38.9,3.83,2.8,0.09,2.15,1.4,0,0.75,1.59,2.43,4.11,0,Matches
730,Sofiane Diop\19053e31,fr FRA,MFFW,Monaco,fr Ligue 1,21,2000,21.6,1.67,0.93,0.6,0.79,0.28,0.6,2.22,27.1,1.62,21.5,6.06,28.2,5.28,9.35,6.85,0.65,0,0,0.65,1.53,3.19,0.14,0,Matches
731,Andy Diouf\9b5237b1,fr FRA,MF,Rennes,fr Ligue 1,19,2002,0.2,10,5,5,0,5,5,5,100,0,35,5,14.3,10,15,10,5,0,0,5,0,10,5,0,Matches
732,Assane Dioussé\7f622eef,sn SEN,MF,Saint-Étienne,fr Ligue 1,23,1997,0.3,0,0,0,0,0,0,0,,0,26.7,20,75,10,16.7,0,0,0,0,0,0,0,0,0,Matches
733,Axel Disasi\ad82197c,fr FRA,DF,Monaco,fr Ligue 1,23,1998,30.2,1.42,0.89,0.7,0.66,0.07,0.56,1.13,50,0.56,8.18,3.44,42.1,3.94,3.97,0.26,1.72,1.09,0,0.63,1.95,3.38,3.61,0,Matches
734,Filippo Distefano\2110f96c,it ITA,FW,Fiorentina,it Serie A,17,2003,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
735,Matías Dituro\b6160ad0,ar ARG,GK,Celta Vigo,es La Liga,34,1987,38,0,0,0,0,0,0,0,,0,0.08,0.03,33.3,0.08,0,0,0,0,0,0,0,0,0.03,0.05,Matches
736,Tiago Djaló\b2336681,pt POR,DF,Lille,fr Ligue 1,21,2000,25.9,2.55,1.51,1.7,0.77,0.08,1,1.74,57.8,0.73,10,3.75,37.3,5.6,3.63,0.81,1.74,0.42,0.04,1.31,1.2,3.75,3.44,0,Matches
737,Djené\a4971d84,tg TOG,DF,Getafe,es La Liga,29,1991,34.6,1.5,1.04,0.84,0.55,0.12,0.52,0.81,64.3,0.29,8.58,3.01,35,4.71,3.5,0.38,1.04,0.14,0,0.9,2.69,4.19,3.84,0.06,Matches
738,Moussa Djenepo\254147d4,ml MLI,MF,Southampton,eng Premier League,23,1998,5.1,2.55,1.57,1.18,1.18,0.2,0.98,2.35,41.7,1.37,20.4,4.9,24,9.02,7.65,3.73,1.76,0.2,0,1.57,1.76,4.31,0.59,0,Matches
739,Koffi Djidji\933d3b51,ci CIV,DF,Torino,it Serie A,28,1992,19.3,2.59,1.04,1.19,1.14,0.26,0.47,0.83,56.3,0.36,15.6,5.08,32.6,6.68,7.88,1.04,1.45,0.41,0,1.04,2.49,5.08,3.73,0,Matches
