,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
819,Mohamed Elyounoussi\68dc0dac,no NOR,MFFW,Southampton,eng Premier League,26,1994,22.7,0.18,1.89,0.75,39.5,1.9,0.75,0.09,0.24,13.7,0,0,0,0.26,0.26,0.15,-0.09,-0.09,Matches
820,Adri Embarba\db8f0eba,es ESP,FWMF,Espanyol,es La Liga,29,1992,22.1,0,2.22,0.72,32.7,2.22,0.73,0,0,22.9,0.68,0,0,0.14,0.14,0.06,-0.14,-0.14,Matches
821,Breel Embolo\0b4f388a,ch SUI,FWMF,M'Gladbach,de Bundesliga,24,1997,24.1,0.37,1.99,0.95,47.9,1.99,0.96,0.19,0.39,13.5,0,0,0,0.37,0.37,0.18,0.01,0.01,Matches
822,Emerson\df8b52a5,br BRA,DF,Tottenham,eng Premier League,22,1999,25.4,0.04,0.59,0.16,26.7,0.59,0.16,0.07,0.25,14.6,0,0,0,0.06,0.06,0.1,-0.02,-0.02,Matches
823,Emerson\df8b52a5,br BRA,DF,Barcelona,es La Liga,22,1999,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
824,Renaud Emond\5c9ac7f0,be BEL,MFFW,Nantes,fr Ligue 1,29,1991,2.1,0,0.48,0,0,0.47,0,0,,54,0,0,0,0,0,0.02,0,0,Matches
825,Youssef En-Nesyri\04e17fd5,ma MAR,FW,Sevilla,es La Liga,24,1997,14.2,0.35,2.54,0.85,33.3,2.54,0.85,0.11,0.33,11.6,0,0.07,0.07,0.41,0.36,0.14,-0.06,-0.08,Matches
826,Keita Endo\1a83027b,jp JPN,MFFW,Union Berlin,de Bundesliga,23,1997,0.6,0,3.33,1.67,50,3.27,1.64,0,0,17.3,0,0,0,0.17,0.17,0.03,-0.17,-0.17,Matches
827,Wataru Endo\c149016b,jp JPN,MF,Stuttgart,de Bundesliga,28,1993,32.2,0.12,1.43,0.5,34.8,1.43,0.5,0.09,0.25,15,0,0,0,0.18,0.17,0.12,-0.06,-0.05,Matches
828,Christian Eriksen\980522ec,dk DEN,MF,Brentford,eng Premier League,29,1992,10.4,0.1,2.12,0.77,36.4,2.11,0.77,0.05,0.13,23.2,0.48,0,0,0.13,0.13,0.07,-0.04,-0.04,Matches
829,Martin Erlic\0fee6bda,hr CRO,DF,Spezia,it Serie A,23,1998,28.6,0.07,0.52,0.1,20,0.52,0.1,0.13,0.67,9.4,0,0,0,0.07,0.07,0.14,0,0,Matches
830,Gonzalo Escalante\3f79a1c8,ar ARG,MF,Alavés,es La Liga,28,1993,14.4,0.35,1.18,0.63,52.9,1.18,0.62,0.29,0.56,11.4,0,0,0,0.2,0.2,0.17,0.15,0.15,Matches
831,Gonzalo Escalante\3f79a1c8,ar ARG,MF,Lazio,it Serie A,28,1993,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
832,Aarón Escandell\67669ce7,es ESP,GK,Granada,es La Liga,25,1995,3.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
833,Sergio Escudero\b0616e3d,es ESP,DFMF,Granada,es La Liga,31,1989,15.9,0.13,1.32,0.19,14.3,1.32,0.19,0.1,0.67,26.5,0.25,0,0,0.09,0.09,0.07,0.03,0.03,Matches
834,Alfonso Espino\db001fa9,uy URU,DF,Cádiz,es La Liga,29,1992,37,0.05,0.73,0.22,29.6,0.73,0.22,0.07,0.25,20.3,0,0,0,0.04,0.04,0.05,0.01,0.02,Matches
835,Michael Esser\83e0eeb4,de GER,GK,Bochum,de Bundesliga,33,1987,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
836,Estanis\ace50e9f,es ESP,FW,Barcelona,es La Liga,17,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
837,Maxime Estève\1a066e69,fr FRA,DF,Montpellier,fr Ligue 1,19,2002,20.6,0,0.24,0.05,20,0.24,0.05,0,0,7,0,0,0,0.04,0.04,0.17,-0.04,-0.04,Matches
838,Pervis Estupiñán\d38fdf53,ec ECU,DF,Villarreal,es La Liga,23,1998,17.5,0,0.8,0.23,28.6,0.8,0.23,0,0,19.4,0,0,0,0.04,0.04,0.05,-0.04,-0.04,Matches
839,Oghenekaro Etebo\b579e83d,ng NGA,MF,Watford,eng Premier League,25,1995,4.5,0,0.67,0,0,0.67,0,0,,30.9,0,0,0,0,0,0.02,0,0,Matches
840,Jonny Evans\f8fcd2a5,nir NIR,DF,Leicester City,eng Premier League,33,1988,15,0.07,0.2,0.13,66.7,0.2,0.13,0.33,0.5,5.7,0,0,0,0.05,0.05,0.25,0.02,0.02,Matches
841,Eberechi Eze\ae4fc6a4,eng ENG,MFFW,Crystal Palace,eng Premier League,23,1998,6.7,0.15,1.49,0.15,10,1.49,0.15,0.1,1,20.2,0.15,0,0,0.07,0.07,0.05,0.07,0.07,Matches
842,Abdessamad Ezzalzouli\bed68338,ma MAR,FWDF,Barcelona,es La Liga,19,2001,6.4,0.16,2.5,0.47,18.8,2.48,0.47,0.06,0.33,16.2,0,0,0,0.2,0.2,0.08,-0.05,-0.05,Matches
843,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,eng Premier League,36,1985,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
844,Fabinho\7f3b388c,br BRA,MF,Liverpool,eng Premier League,27,1993,25.7,0.19,0.74,0.27,36.8,0.74,0.27,0.16,0.43,18.8,0.04,0.08,0.08,0.13,0.07,0.11,0.06,0.04,Matches
845,Fábio\bc7b4580,br BRA,DF,Nantes,fr Ligue 1,31,1990,18.5,0,0.59,0.05,9.1,0.59,0.05,0,0,17.2,0,0,0,0.04,0.04,0.07,-0.04,-0.04,Matches
846,Cesc Fàbregas\33508c78,es ESP,MF,Monaco,fr Ligue 1,34,1987,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
847,Wout Faes\9c221d14,be BEL,DF,Reims,fr Ligue 1,23,1998,37,0.11,0.62,0.24,39.1,0.62,0.24,0.17,0.44,13,0,0,0,0.06,0.06,0.1,0.05,0.05,Matches
848,Wahidullah Faghir\93c9e7d9,dk DEN,FW,Stuttgart,de Bundesliga,18,2003,1.4,0.71,4.29,0.71,16.7,4.39,0.73,0.17,1,15.5,0,0,0,0.29,0.29,0.07,0.43,0.43,Matches
849,Romain Faivre\745ca0a3,fr FRA,FWMF,Lyon,fr Ligue 1,23,1998,9.9,0.3,2.02,0.61,30,2.02,0.61,0.15,0.5,17.6,0.1,0,0,0.17,0.17,0.09,0.13,0.13,Matches
850,Romain Faivre\745ca0a3,fr FRA,MF,Brest,fr Ligue 1,23,1998,19.9,0.35,1.61,0.65,40.6,1.6,0.65,0.06,0.15,21.8,0.2,0.25,0.25,0.31,0.12,0.08,0.04,-0.02,Matches
851,Radamel Falcao\66116290,co COL,FW,Rayo Vallecano,es La Liga,35,1986,9.3,0.65,3.55,1.61,45.5,3.54,1.61,0.18,0.4,12.7,0.22,0,0,0.47,0.47,0.13,0.17,0.17,Matches
852,Diego Falcinelli\a39b9ef6,it ITA,FWMF,Bologna,it Serie A,30,1991,0.7,0,7.14,0,0,6.82,0,0,,14.4,0,0,0,0.57,0.57,0.08,-0.57,-0.57,Matches
853,Wladimiro Falcone\9f5a610b,it ITA,GK,Sampdoria,it Serie A,26,1995,9.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
854,Fali\72a84002,es ESP,DFMF,Cádiz,es La Liga,27,1993,20,0,0.75,0,0,0.75,0,0,,16,0.1,0,0,0.04,0.04,0.05,-0.04,-0.04,Matches
855,Paolo Faragò\9085dd7c,it ITA,MF,Cagliari,it Serie A,28,1993,0.2,0,10,5,50,11.25,5.63,0,0,12.7,0,0,0,2.5,2.5,0.27,-2.5,-2.5,Matches
856,Omar Faraj\de627c8a,se SWE,FW,Levante,es La Liga,19,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
857,Davide Faraoni\aae9d04a,it ITA,DF,Hellas Verona,it Serie A,29,1991,28.6,0.14,1.01,0.31,31,1.01,0.31,0.14,0.44,14,0,0,0,0.09,0.09,0.09,0.05,0.05,Matches
858,Mohamed Fares\b7a5bc86,dz ALG,DFFW,Genoa,it Serie A,25,1996,6.5,0.31,2,0.46,23.1,1.99,0.46,0.15,0.67,12.9,0,0,0,0.17,0.17,0.08,0.14,0.14,Matches
859,Diego Farias\157d29b6,br BRA,MFFW,Cagliari,it Serie A,31,1990,0.7,0,1.43,0,0,1.36,0,0,,21.6,0,0,0,0,0,0.04,0,0,Matches
860,Wuilker Faríñez\2c127b6f,ve VEN,GK,Lens,fr Ligue 1,23,1998,12.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
861,Ömer Faruk Beyaz\8307b663,tr TUR,FWDF,Stuttgart,de Bundesliga,17,2003,0.8,0,3.75,1.25,33.3,3.8,1.27,0,0,18.4,0,0,0,0.25,0.25,0.06,-0.25,-0.25,Matches
862,Noah Fatar\2693f6bc,fr FRA,DFMF,Angers,fr Ligue 1,19,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
863,Ansu Fati\0ba976e4,es ESP,FW,Barcelona,es La Liga,18,2002,3.7,1.08,4.86,2.16,44.4,4.82,2.14,0.22,0.5,16.8,0.27,0,0,0.38,0.38,0.08,0.7,0.7,Matches
864,Julien Faussurier\767212e6,fr FRA,MFDF,Brest,fr Ligue 1,34,1987,5.4,0,0.74,0.56,75,0.74,0.55,0,0,15.9,0,0,0,0.07,0.07,0.1,-0.07,-0.07,Matches
865,Andrea Favilli\44510fde,it ITA,FW,Genoa,it Serie A,24,1997,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
866,Federico Fazio\4e358a2d,ar ARG,DF,Salernitana,it Serie A,34,1987,15.9,0.06,1.01,0.19,18.8,1,0.19,0.06,0.33,12.3,0,0,0,0.08,0.08,0.07,-0.01,-0.01,Matches
867,Aleix Febas\38126309,es ESP,MF,Mallorca,es La Liga,25,1996,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
868,Adrian Fein\60097ff6,de GER,MF,Greuther Fürth,de Bundesliga,22,1999,0.4,0,2.5,0,0,2.81,0,0,,26,0,0,0,0,0,0.02,0,0,Matches
869,Nabil Fekir\bece776f,fr FRA,MF,Betis,es La Liga,28,1993,31,0.19,2.71,1,36.9,2.71,1,0.07,0.19,21.2,0.32,0,0,0.16,0.16,0.06,0.03,0.03,Matches
870,Felipe\51a3c4c8,br BRA,DF,Atlético Madrid,es La Liga,32,1989,16.7,0.12,0.66,0.24,36.4,0.66,0.24,0.18,0.5,8.8,0,0,0,0.06,0.06,0.09,0.06,0.06,Matches
871,Luiz Felipe\15d0c248,it ITA,DF,Lazio,it Serie A,24,1997,27.7,0,0.18,0.04,20,0.18,0.04,0,0,12,0,0,0,0.01,0.01,0.05,-0.01,-0.01,Matches
872,Ohis Felix Uduokhai\677da306,de GER,DF,Augsburg,de Bundesliga,23,1997,8.7,0,0.23,0,0,0.23,0,0,,13.1,0,0,0,0.01,0.01,0.06,-0.01,-0.01,Matches
873,João Félix\8aafd64f,pt POR,FWMF,Atlético Madrid,es La Liga,21,1999,14,0.57,2.79,1.07,38.5,2.78,1.07,0.21,0.53,14.5,0.07,0,0,0.36,0.36,0.13,0.21,0.21,Matches
874,Kiko Femenía\e5d01ecf,es ESP,DF,Watford,eng Premier League,30,1991,23.8,0,0.13,0.04,33.3,0.13,0.04,0,0,19.6,0,0,0,0,0,0.03,0,0,Matches
875,Evan Ferguson\4596da74,ie IRL,MF,Brighton,eng Premier League,16,2004,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
876,Nathan Ferguson\2f8d27bc,eng ENG,DF,Crystal Palace,eng Premier League,20,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
877,Bruno Fernandes\507c7bdf,pt POR,MF,Manchester Utd,eng Premier League,26,1994,34.6,0.29,2.51,0.84,33.3,2.52,0.84,0.11,0.34,21.2,0.17,0,0.06,0.28,0.24,0.09,0.01,0.05,Matches
878,Edimilson Fernandes\3bb625ac,ch SUI,DFFW,Arminia,de Bundesliga,25,1996,3.1,0,1.29,0.65,50,1.27,0.64,0,0,43.7,0,0,0,0.06,0.06,0.06,-0.06,-0.06,Matches
879,Aitor Fernández\a01c3d54,es ESP,GK,Levante,es La Liga,30,1991,13,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
880,Álex Fernández\aa677a35,es ESP,MF,Cádiz,es La Liga,28,1992,22.8,0.13,0.83,0.26,31.6,0.83,0.26,0.11,0.33,19.6,0,0.04,0.09,0.13,0.06,0.07,0,0.03,Matches
881,Álvaro Fernández\f127d782,es ESP,GK,Brentford,eng Premier League,23,1998,12,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
882,Federico Fernández\f25b010f,ar ARG,DF,Newcastle Utd,eng Premier League,32,1989,5.8,0,1.03,0.17,16.7,1.03,0.17,0,0,9.2,0,0,0,0.07,0.07,0.07,-0.07,-0.07,Matches
883,Fernandinho\101da2b5,br BRA,MFDF,Manchester City,eng Premier League,36,1985,10.7,0.19,1.68,0.28,16.7,1.68,0.28,0.11,0.67,16.4,0,0,0,0.15,0.15,0.09,0.04,0.04,Matches
884,Fernando\41f32541,br BRA,MFDF,Sevilla,es La Liga,34,1987,20.6,0.05,0.34,0.05,14.3,0.34,0.05,0.14,1,15.6,0,0,0,0.03,0.03,0.09,0.02,0.02,Matches
885,Alex Ferrari\d0dbca9f,it ITA,DF,Sampdoria,it Serie A,27,1994,18.3,0.05,0.22,0.05,25,0.22,0.05,0.25,1,17.3,0,0,0,0.03,0.03,0.11,0.03,0.03,Matches
886,Salvador Ferrer\eb76987d,es ESP,DFMF,Spezia,it Serie A,23,1998,16.6,0,0.36,0.06,16.7,0.36,0.06,0,0,23.5,0,0,0,0.01,0.01,0.04,-0.01,-0.01,Matches
887,Jordan Ferri\375622c5,fr FRA,MF,Montpellier,fr Ligue 1,29,1992,32.3,0,0.4,0.06,15.4,0.4,0.06,0,0,24.1,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
888,Riccardo Fiamozzi\9f9b9269,it ITA,DF,Empoli,it Serie A,28,1993,6.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
889,Fidel\eb82b6f1,es ESP,MFFW,Elche,es La Liga,31,1989,25.1,0.2,0.64,0.28,43.8,0.64,0.28,0.25,0.57,15.4,0.04,0.04,0.04,0.12,0.09,0.14,0.08,0.07,Matches
890,Karol Fila\50ac8941,pl POL,DF,Strasbourg,fr Ligue 1,23,1998,6.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
891,Alfreð Finnbogason\f9e7c4ac,is ISL,FWMF,Augsburg,de Bundesliga,32,1989,3.2,0.63,1.88,1.25,66.7,1.85,1.23,0.33,0.5,13.3,0,0,0,0.34,0.34,0.19,0.28,0.28,Matches
892,Luca Fiordilino\9bb1ad91,it ITA,MF,Venezia,it Serie A,25,1996,7.3,0,0.41,0.14,33.3,0.41,0.14,0,0,18.8,0,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
893,Vincenzo Fiorillo\a2565f79,it ITA,GK,Salernitana,it Serie A,31,1990,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
894,Roberto Firmino\4c370d81,br BRA,FW,Liverpool,eng Premier League,29,1991,11,0.45,2.73,1,36.7,2.73,1,0.17,0.45,15.1,0,0,0,0.45,0.45,0.17,0,0,Matches
895,Junior Firpo\24f59bb2,es ESP,DF,Leeds United,eng Premier League,24,1996,19,0,0.63,0.05,8.3,0.63,0.05,0,0,13.3,0,0,0,0.05,0.05,0.08,-0.05,-0.05,Matches
896,Mark Flekken\a92ab7be,nl NED,GK,Freiburg,de Bundesliga,28,1993,32,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
897,Ashley Fletcher\eeb6551f,eng ENG,FW,Watford,eng Premier League,25,1995,0.3,0,6.67,3.33,50,6,3,0,0,19.9,0,0,0,1.33,1.33,0.19,-1.33,-1.33,Matches
898,Alexis Flips\caef7840,fr FRA,FWMF,Reims,fr Ligue 1,21,2000,11.7,0.17,1.54,0.77,50,1.53,0.77,0.06,0.11,24,0.09,0.09,0.09,0.18,0.12,0.08,-0.01,-0.03,Matches
899,Alessandro Florenzi\e288d4b3,it ITA,DFFW,Milan,it Serie A,30,1991,12.8,0.16,1.72,0.47,27.3,1.72,0.47,0.09,0.33,24,0.16,0,0,0.05,0.05,0.03,0.1,0.1,Matches
900,Phil Foden\ed1e53f3,eng ENG,FW,Manchester City,eng Premier League,21,2000,23.6,0.38,2.46,0.93,37.9,2.45,0.93,0.16,0.41,14.1,0,0,0,0.39,0.39,0.16,0,0,Matches
901,Mamadou Fofana\4c4ffacc,ml MLI,DF,Metz,fr Ligue 1,23,1998,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
902,Seko Fofana\5313ed43,ci CIV,MF,Lens,fr Ligue 1,26,1995,37.3,0.21,2.63,0.86,32.7,2.63,0.86,0.08,0.25,20.3,0,0,0,0.2,0.2,0.08,0.01,0.01,Matches
903,Wesley Fofana\132a82f1,fr FRA,DF,Leicester City,eng Premier League,20,2000,7,0,0.43,0.14,33.3,0.43,0.14,0,0,8,0,0,0,0.03,0.03,0.08,-0.03,-0.03,Matches
904,Youssouf Fofana\822d51d7,fr FRA,MF,Monaco,fr Ligue 1,22,1999,24.3,0,1.28,0.29,22.6,1.27,0.29,0,0,24.5,0.08,0,0,0.05,0.05,0.04,-0.05,-0.05,Matches
905,Thomas Foket\90eb507d,be BEL,DFMF,Reims,fr Ligue 1,26,1994,24.8,0.04,0.32,0.12,37.5,0.32,0.12,0.13,0.33,13.3,0,0,0,0.02,0.02,0.07,0.02,0.02,Matches
906,Thomas Fontaine\9f90c06b,mg MAD,DF,Lorient,fr Ligue 1,30,1991,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
907,José Fontán\1827a42d,es ESP,DF,Celta Vigo,es La Liga,21,2000,3.1,0,0.32,0,0,0.33,0,0,,13,0,0,0,0.03,0.03,0.13,-0.03,-0.03,Matches
908,José Fonte\90f87966,pt POR,DF,Lille,fr Ligue 1,37,1983,38,0,0.61,0.16,26.1,0.61,0.16,0,0,9.8,0,0,0,0.04,0.04,0.07,-0.04,-0.04,Matches
909,Fernando Forestieri\d60c26fc,it ITA,FWMF,Udinese,it Serie A,31,1990,0.6,3.33,5,3.33,66.7,4.66,3.1,0.67,1,13.2,1.67,0,0,1.67,1.67,0.32,1.67,1.67,Matches
910,Pablo Fornals\82927de4,es ESP,FWMF,West Ham,eng Premier League,25,1996,31.1,0.19,1.38,0.35,25.6,1.38,0.35,0.14,0.55,18.4,0,0,0,0.16,0.16,0.12,0.03,0.03,Matches
911,Emil Forsberg\9a2e0ccc,se SWE,MFFW,RB Leipzig,de Bundesliga,29,1991,19,0.32,2,0.58,28.9,2,0.58,0.05,0.18,18.2,0.11,0.21,0.21,0.4,0.24,0.12,-0.08,-0.14,Matches
912,Adam Forshaw\9f1938ab,eng ENG,MF,Leeds United,eng Premier League,29,1991,17,0,0.82,0.24,28.6,0.82,0.24,0,0,25.5,0.06,0,0,0.02,0.02,0.03,-0.02,-0.02,Matches
913,Marcus Forss\82c215a0,fi FIN,FWMF,Brentford,eng Premier League,22,1999,2.3,0,2.17,0,0,2.15,0,0,,14,0,0,0,0.09,0.09,0.05,-0.09,-0.09,Matches
914,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,eng Premier League,33,1988,19,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
915,Philipp Förster\76fa965f,de GER,FWMF,Stuttgart,de Bundesliga,26,1995,10.7,0.19,2.71,0.65,24.1,2.7,0.65,0.07,0.29,17.4,0.09,0,0,0.25,0.25,0.09,-0.07,-0.07,Matches
916,Francesco Forte\69e11a01,it ITA,FW,Venezia,it Serie A,28,1993,4.7,0.21,2.34,0.43,18.2,2.35,0.43,0.09,0.5,9.9,0,0,0,0.21,0.21,0.09,0,0,Matches
917,Steven Fortes\574aa9ec,cv CPV,DF,Lens,fr Ligue 1,29,1992,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
918,Ben Foster\d0b3ceb9,eng ENG,GK,Watford,eng Premier League,38,1983,26,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
919,Tariqe Fosu\3dcef539,gh GHA,DF,Brentford,eng Premier League,25,1995,0.2,0,5,0,0,5.29,0,0,,18.4,0,0,0,0,0,0.03,0,0,Matches
920,Timothy Fosu-Mensah\a9142dc3,nl NED,DF,Leverkusen,de Bundesliga,23,1998,1.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
921,Dimitri Foulquier\45e17712,fr FRA,DF,Granada,es La Liga,28,1993,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
922,Dimitri Foulquier\45e17712,fr FRA,DF,Valencia,es La Liga,28,1993,26,0,0.62,0.19,31.3,0.61,0.19,0,0,21.4,0,0,0,0.03,0.03,0.05,-0.03,-0.03,Matches
923,Juan Foyth\6c7762c3,ar ARG,DF,Villarreal,es La Liga,23,1998,21.4,0.05,0.28,0.09,33.3,0.28,0.09,0.17,0.5,11.3,0,0,0,0.02,0.02,0.09,0.02,0.02,Matches
924,Gianluca Frabotta\d80b1835,it ITA,DFFW,Hellas Verona,it Serie A,22,1999,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
925,Raphael Framberger\626fab5f,de GER,DF,Augsburg,de Bundesliga,25,1995,9.4,0,0.11,0,0,0.11,0,0,,20.4,0,0,0,0,0,0.03,0,0,Matches
926,Przemysław Frankowski\00a8d210,pl POL,DF,Lens,fr Ligue 1,26,1995,27.2,0.22,1.21,0.48,39.4,1.21,0.48,0.18,0.46,17.9,0,0,0,0.11,0.11,0.09,0.11,0.11,Matches
927,Enric Franquesa\40883e3a,es ESP,DF,Levante,es La Liga,24,1997,6.9,0,0.14,0,0,0.14,0,0,,11.7,0,0,0,0,0,0.03,0,0,Matches
928,Fransérgio\deba6b05,br BRA,MF,Bordeaux,fr Ligue 1,30,1990,14,0,1,0.14,14.3,1,0.14,0,0,21.2,0.07,0,0,0.09,0.09,0.09,-0.09,-0.09,Matches
929,Ryan Fraser\d56543a0,sct SCO,FWMF,Newcastle Utd,eng Premier League,27,1994,16.3,0.12,1.47,0.43,29.2,1.47,0.43,0.08,0.29,17.2,0,0,0,0.17,0.17,0.12,-0.05,-0.05,Matches
930,Davide Frattesi\2a7d27c1,it ITA,MF,Sassuolo,it Serie A,21,1999,31.7,0.13,2.08,0.6,28.8,2.08,0.6,0.06,0.21,16.5,0,0,0,0.21,0.21,0.1,-0.08,-0.08,Matches
931,Fred\b853e0ad,br BRA,MF,Manchester Utd,eng Premier League,28,1993,22.5,0.18,0.67,0.4,60,0.67,0.4,0.27,0.44,20.2,0,0,0,0.07,0.07,0.1,0.11,0.11,Matches
932,Ryan Fredericks\c067631c,eng ENG,DF,West Ham,eng Premier League,28,1992,3.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
933,Morten Frendrup\f4d60499,dk DEN,DFMF,Genoa,it Serie A,20,2001,7.7,0,0.52,0.26,50,0.52,0.26,0,0,19.4,0,0,0,0.06,0.06,0.13,-0.06,-0.06,Matches
934,Remo Freuler\98d2c2c4,ch SUI,MF,Atalanta,it Serie A,29,1992,26.3,0.04,0.76,0.23,30,0.76,0.23,0.05,0.17,20,0,0,0,0.06,0.06,0.08,-0.02,-0.02,Matches
935,Marvin Friedrich\b77f44a4,de GER,DF,M'Gladbach,de Bundesliga,25,1995,6.7,0,0.75,0.15,20,0.75,0.15,0,0,14,0,0,0,0.04,0.04,0.06,-0.04,-0.04,Matches
936,Marvin Friedrich\b77f44a4,de GER,DF,Union Berlin,de Bundesliga,25,1995,13,0,1.15,0.31,26.7,1.15,0.31,0,0,12.8,0,0,0,0.08,0.08,0.07,-0.08,-0.08,Matches
937,Jeremie Frimpong\74f2e748,nl NED,DF,Leverkusen,de Bundesliga,20,2000,22.8,0.04,0.48,0.18,36.4,0.48,0.18,0.09,0.25,18.9,0,0,0,0.03,0.03,0.05,0.02,0.02,Matches
938,Christian Früchtl\1940be91,de GER,GK,Bayern Munich,de Bundesliga,21,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
939,Jorge de Frutos\38ce1150,es ESP,MFFW,Levante,es La Liga,24,1997,19.6,0.2,2.35,1.02,43.5,2.35,1.02,0.09,0.2,15.3,0,0,0,0.3,0.3,0.13,-0.09,-0.09,Matches
940,Leo Fuhr Hjelde\d102b8a2,no NOR,DF,Leeds United,eng Premier League,17,2003,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
941,Chris Führich\0cf778df,de GER,MFFW,Stuttgart,de Bundesliga,23,1998,19,0.16,1.58,0.63,40,1.58,0.63,0.1,0.25,19.2,0,0,0,0.18,0.18,0.12,-0.03,-0.03,Matches
942,Angelo Fulgini\4b96c347,fr FRA,MFFW,Angers,fr Ligue 1,24,1996,32.5,0.15,1.78,0.52,29.3,1.78,0.52,0.09,0.29,16.2,0.09,0,0,0.18,0.18,0.1,-0.02,-0.02,Matches
943,Marius Funk\86314793,de GER,GK,Greuther Fürth,de Bundesliga,25,1996,8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
944,Stephan Fürstner\18c2e247,de GER,MF,Mainz 05,de Bundesliga,33,1987,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
945,Matteo Gabbia\c235e803,it ITA,DF,Milan,it Serie A,21,1999,6,0,0.17,0,0,0.17,0,0,,3.2,0,0,0,0.02,0.02,0.11,-0.02,-0.02,Matches
946,Manolo Gabbiadini\8f866fe8,it ITA,FWMF,Sampdoria,it Serie A,29,1991,12.7,0.47,3.46,1.65,47.7,3.47,1.66,0.14,0.29,18.4,0.24,0,0,0.31,0.31,0.09,0.17,0.17,Matches
947,Mijat Gaćinović\16daec92,rs SRB,FWDF,Hoffenheim,de Bundesliga,26,1995,1.2,0,0.83,0,0,0.82,0,0,,11.2,0,0,0,0.25,0.25,0.26,-0.25,-0.25,Matches
948,Gianluca Gaetano\3b387cc7,it ITA,MF,Napoli,it Serie A,21,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
949,Luca Gagliano\1d00a56c,it ITA,MFDF,Cagliari,it Serie A,21,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
950,Roberto Gagliardini\ce30bfc8,it ITA,MF,Inter,it Serie A,27,1994,7.2,0.28,1.11,0.56,50,1.11,0.55,0.25,0.5,15.8,0,0,0,0.14,0.14,0.12,0.14,0.14,Matches
951,Riccardo Gagliolo\173061c0,se SWE,DF,Salernitana,it Serie A,31,1990,12.6,0,0.63,0.08,12.5,0.63,0.08,0,0,16.9,0,0,0,0.06,0.06,0.1,-0.06,-0.06,Matches
952,Javi Galán\a4b00319,es ESP,DF,Celta Vigo,es La Liga,26,1994,36.6,0,0.52,0.14,26.3,0.52,0.14,0,0,27.3,0.03,0,0,0.01,0.01,0.02,-0.01,-0.01,Matches
