,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
621,Moanes Dabbur\eac044ad,il ISR,FWMF,Hoffenheim,de Bundesliga,29,1992,14.6,34,2.34,26,0,1,4,1,2,7,0.48,6,0,0,0,0,1,Matches
622,Colin Dagba\29c02c9f,fr FRA,DF,Paris S-G,fr Ligue 1,22,1998,1.8,3,1.64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
623,Finn Dahmen\dee3013b,de GER,GK,Mainz 05,de Bundesliga,23,1998,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
624,Mahmoud Dahoud\db4ed67b,de GER,MF,Dortmund,de Bundesliga,25,1996,18.4,53,2.88,44,5,2,0,0,2,5,0.27,4,0,1,0,0,0,Matches
625,Patson Daka\ca45605e,zm ZAM,FW,Leicester City,eng Premier League,22,1998,12.9,24,1.86,21,0,0,1,1,1,7,0.54,5,0,0,1,0,1,Matches
626,Stuart Dallas\67ca8566,nir NIR,DFMF,Leeds United,eng Premier League,30,1991,32.4,64,1.97,38,18,2,1,2,3,3,0.09,2,0,0,0,0,1,Matches
627,Diogo Dalot\d9565625,pt POR,DF,Manchester Utd,eng Premier League,22,1999,20,37,1.85,33,1,2,0,1,0,5,0.25,5,0,0,0,0,0,Matches
628,Mikkel Damsgaard\215f3907,dk DEN,MFFW,Sampdoria,it Serie A,21,2000,6.4,25,3.89,20,1,0,1,2,1,1,0.16,1,0,0,0,0,0,Matches
629,Flavius Daniliuc\7ef972c3,at AUT,DF,Nice,fr Ligue 1,20,2001,14.4,8,0.56,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
630,Danilo\94b2001f,br BRA,DFMF,Juventus,it Serie A,30,1991,21,37,1.76,30,2,0,3,2,0,3,0.14,2,0,0,1,0,0,Matches
631,Kevin Danso\6e33125f,at AUT,DF,Lens,fr Ligue 1,22,1998,31,16,0.52,13,0,0,1,1,1,4,0.13,3,0,0,0,1,0,Matches
632,Dante\fd2bc67d,br BRA,DF,Nice,fr Ligue 1,37,1983,31.9,24,0.75,21,0,0,1,1,1,3,0.09,1,0,0,1,1,0,Matches
633,Ebrima Darboe\cf043a33,gm GAM,MF,Roma,it Serie A,20,2001,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
634,Márton Dárdai\41bff4fa,de GER,DF,Hertha BSC,de Bundesliga,19,2002,8.4,5,0.6,3,2,0,0,0,0,1,0.12,0,1,0,0,0,0,Matches
635,Sergi Darder\070a3904,es ESP,MF,Espanyol,es La Liga,27,1993,34.7,88,2.53,68,7,1,4,4,4,14,0.4,13,0,0,1,0,0,Matches
636,Vladimír Darida\3eb0f2df,cz CZE,MF,Hertha BSC,de Bundesliga,30,1990,19.8,48,2.42,31,11,0,3,3,0,6,0.3,6,0,0,0,0,0,Matches
637,Karl Darlow\cde3309f,eng ENG,GK,Newcastle Utd,eng Premier League,30,1990,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
638,Matteo Darmian\96e0490d,it ITA,DF,Inter,it Serie A,31,1989,16.7,43,2.57,36,1,0,2,2,2,4,0.24,4,0,0,0,0,0,Matches
639,Josh Dasilva\60344e4f,eng ENG,MFFW,Brentford,eng Premier League,22,1998,2.9,5,1.75,4,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
640,Jonathan David\ce50fd99,ca CAN,FW,Lille,fr Ligue 1,21,2000,31.2,69,2.21,53,0,4,6,4,2,5,0.16,3,0,1,0,0,1,Matches
641,Alphonso Davies\d781d855,ca CAN,DF,Bayern Munich,de Bundesliga,20,2000,19.3,60,3.1,43,5,7,2,2,1,5,0.26,3,1,1,0,0,0,Matches
642,Ben Davies\44781702,wls WAL,DF,Tottenham,eng Premier League,28,1993,28.2,29,1.03,27,1,0,1,0,0,4,0.14,3,0,0,1,0,0,Matches
643,Tom Davies\9228b07c,eng ENG,MF,Everton,eng Premier League,23,1998,2.6,4,1.54,3,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
644,Keinan Davis\9deaf2c8,eng ENG,FW,Aston Villa,eng Premier League,23,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
645,Paweł Dawidowicz\16bb656a,pl POL,DF,Hellas Verona,it Serie A,26,1995,13.3,9,0.68,6,0,0,0,1,2,1,0.08,1,0,0,0,0,0,Matches
646,Craig Dawson\3e9e06cb,eng ENG,DF,West Ham,eng Premier League,31,1990,30.6,11,0.36,6,0,1,4,0,0,5,0.16,3,0,0,2,0,0,Matches
647,Kevin De Bruyne\e46012d4,be BEL,MF,Manchester City,eng Premier League,30,1991,24.5,139,5.68,94,32,3,5,5,0,14,0.57,8,3,2,0,1,0,Matches
648,Konrad De La Fuente\4b77bb89,us USA,FWDF,Marseille,fr Ligue 1,20,2001,8.7,21,2.41,17,0,3,1,0,0,5,0.57,3,0,1,1,0,0,Matches
649,Sebastien De Maio\952a03fe,fr FRA,DF,Udinese,it Serie A,34,1987,2,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
650,Tommaso De Nipoti\7f9d956a,it ITA,MF,Atalanta,it Serie A,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
651,Rodrigo De Paul\162efffd,ar ARG,MF,Atlético Madrid,es La Liga,27,1994,23.9,85,3.56,57,23,1,1,1,2,5,0.21,4,1,0,0,0,0,Matches
652,Mattia De Sciglio\ae4e2852,it ITA,DF,Juventus,it Serie A,28,1992,13,30,2.31,26,2,0,1,1,0,3,0.23,3,0,0,0,0,0,Matches
653,Lorenzo De Silvestri\e74f0e59,it ITA,DF,Bologna,it Serie A,33,1988,25.5,39,1.53,28,7,0,2,2,0,2,0.08,2,0,0,0,0,0,Matches
654,Saulo Decarli\41df88b8,ch SUI,DF,Bochum,de Bundesliga,29,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
655,Troy Deeney\82e34b69,eng ENG,FW,Watford,eng Premier League,33,1988,0.3,1,3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
656,Grégoire Defrel\854ee61a,mq MTQ,FW,Sassuolo,it Serie A,30,1991,15.1,48,3.17,37,0,4,3,2,2,2,0.13,2,0,0,0,0,0,Matches
657,Alessandro Deiola\7f267d66,it ITA,MF,Cagliari,it Serie A,25,1995,23.7,31,1.31,26,0,0,4,0,1,4,0.17,3,0,0,1,0,0,Matches
658,Romain Del Castillo\0be95d34,fr FRA,MFFW,Rennes,fr Ligue 1,25,1996,0.3,1,3.21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
659,Romain Del Castillo\0be95d34,fr FRA,MFFW,Brest,fr Ligue 1,25,1996,10.8,29,2.68,20,3,2,2,2,0,8,0.74,5,2,0,0,1,0,Matches
660,Thomas Delaine\8332db56,fr FRA,DF,Metz,fr Ligue 1,29,1992,25.7,49,1.9,38,5,4,1,0,1,2,0.08,2,0,0,0,0,0,Matches
661,Thomas Delaney\fe641c1a,dk DEN,MF,Sevilla,es La Liga,29,1991,17.2,15,0.87,11,0,0,2,1,1,2,0.12,1,0,0,1,0,0,Matches
662,Thomas Delaney\fe641c1a,dk DEN,MF,Dortmund,de Bundesliga,29,1991,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
663,Liam Delap\dd897ee7,eng ENG,FW,Manchester City,eng Premier League,18,2003,0.1,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
664,Sacha Delaye\e4448c8c,fr FRA,MFFW,Montpellier,fr Ligue 1,19,2002,2.9,6,2.06,3,0,1,1,0,1,2,0.69,1,0,1,0,0,0,Matches
665,Filippo Delli Carri\d2e8fd9b,it ITA,DF,Salernitana,it Serie A,22,1999,3.7,3,0.81,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
666,Andy Delort\d33c706e,dz ALG,FW,Nice,fr Ligue 1,29,1991,27.2,67,2.46,49,0,5,5,5,3,10,0.37,7,0,0,1,2,0,Matches
667,Andy Delort\d33c706e,dz ALG,FW,Montpellier,fr Ligue 1,29,1991,3,12,4.01,11,0,0,1,0,0,1,0.33,0,0,0,1,0,0,Matches
668,Fabian Delph\111c3236,eng ENG,MF,Everton,eng Premier League,31,1989,7.4,5,0.68,4,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
669,Moussa Dembélé\e7986081,fr FRA,FW,Lyon,fr Ligue 1,25,1996,24.5,65,2.65,44,0,6,5,7,3,15,0.61,7,0,2,2,4,0,Matches
670,Ousmane Dembélé\b19db005,fr FRA,FW,Barcelona,es La Liga,24,1997,15.7,82,5.24,56,12,9,3,2,0,16,1.02,12,3,1,0,0,0,Matches
671,Yusuf Demir\fa265f6d,at AUT,FW,Barcelona,es La Liga,18,2003,2.1,5,2.34,0,3,0,0,2,0,0,0,0,0,0,0,0,0,Matches
672,Merih Demiral\e3cceee6,tr TUR,DF,Atalanta,it Serie A,23,1998,21.3,8,0.38,3,1,0,4,0,0,3,0.14,0,0,0,3,0,0,Matches
673,Kerem Demirbay\54b4dc4e,de GER,MF,Leverkusen,de Bundesliga,28,1993,22.8,67,2.94,27,32,3,2,3,0,11,0.48,7,2,1,0,1,0,Matches
674,Ermedin Demirović\ed79b7d3,ba BIH,FWMF,Freiburg,de Bundesliga,23,1998,9.7,18,1.86,13,0,0,5,0,0,6,0.62,5,0,0,1,0,0,Matches
675,Diego Demme\dc3fa3b5,de GER,MF,Napoli,it Serie A,29,1991,7.7,18,2.34,14,0,0,1,2,1,1,0.13,1,0,0,0,0,0,Matches
676,Jason Denayer\47af88b8,be BEL,DF,Lyon,fr Ligue 1,26,1995,11.1,3,0.27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
677,Leander Dendoncker\5a7301ae,be BEL,MF,Wolves,eng Premier League,26,1995,21.7,28,1.29,26,0,0,1,0,1,8,0.37,6,0,0,1,0,1,Matches
678,Emmanuel Dennis\2c44a35d,ng NGA,FWMF,Watford,eng Premier League,23,1997,28.7,91,3.17,54,2,17,8,8,2,12,0.42,7,0,1,2,1,1,Matches
679,Fabio Depaoli\d97f2e8d,it ITA,DF,Hellas Verona,it Serie A,24,1997,7.8,11,1.41,9,1,0,0,1,0,1,0.13,1,0,0,0,0,0,Matches
680,Fabio Depaoli\d97f2e8d,it ITA,MFDF,Sampdoria,it Serie A,24,1997,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
681,Memphis Depay\8f696594,nl NED,FW,Barcelona,es La Liga,27,1994,20.6,76,3.7,43,18,6,3,6,0,11,0.53,5,1,2,1,2,0,Matches
682,Mike van der Hoorn\25f50295,nl NED,DF,Arminia,de Bundesliga,28,1992,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
683,Arthur Desmas\e8c5dd4d,fr FRA,GK,Clermont Foot,fr Ligue 1,27,1994,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
684,Sergiño Dest\5976f83e,us USA,DFFW,Barcelona,es La Liga,20,2000,16.8,39,2.32,30,1,7,0,1,0,3,0.18,3,0,0,0,0,0,Matches
685,Mattia Destro\d7d32194,it ITA,FW,Genoa,it Serie A,30,1991,19.4,24,1.24,16,0,3,3,2,0,4,0.21,2,0,1,0,1,0,Matches
686,Gerard Deulofeu\39583cfd,es ESP,FWMF,Udinese,it Serie A,27,1994,29.1,137,4.71,82,35,7,7,5,1,11,0.38,6,2,0,2,1,0,Matches
687,Kiernan Dewsbury Hall\5c74c0f5,eng ENG,MF,Leicester City,eng Premier League,22,1998,23.4,66,2.82,49,3,4,3,5,2,6,0.26,5,1,0,0,0,0,Matches
688,Jacopo Dezi\e921b9db,it ITA,MF,Venezia,it Serie A,29,1992,0.2,1,5.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
689,Samuel Di Carmine\ef94dc2f,it ITA,FW,Hellas Verona,it Serie A,32,1988,0.4,1,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
690,Federico Di Francesco\1fca9171,it ITA,FWMF,Empoli,it Serie A,27,1994,15.2,40,2.63,30,1,1,3,4,1,5,0.33,2,1,0,1,1,0,Matches
691,Giovanni Di Lorenzo\230a2fac,it ITA,DF,Napoli,it Serie A,27,1993,31.9,65,2.04,56,2,3,3,1,0,7,0.22,4,1,0,2,0,0,Matches
692,Ángel Di María\19cda00b,ar ARG,FW,Paris S-G,fr Ligue 1,33,1988,18.3,95,5.2,69,14,6,3,2,1,13,0.71,12,0,0,0,1,0,Matches
693,Francesco Di Mariano\35a2557c,it ITA,FW,Venezia,it Serie A,25,1996,0.7,1,1.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
694,Francesco Di Tacchio\b5c3ff9f,it ITA,MF,Salernitana,it Serie A,31,1990,13.9,9,0.65,7,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches
695,Boulaye Dia\244bc2c8,sn SEN,FW,Villarreal,es La Liga,24,1996,14.1,32,2.27,24,0,3,2,0,3,7,0.5,5,0,1,1,0,0,Matches
696,Moussa Diaby\aeed5c06,fr FRA,FWMF,Leverkusen,de Bundesliga,22,1999,30.7,103,3.36,85,7,8,1,1,1,16,0.52,15,0,0,1,0,0,Matches
697,Yadaly Diaby\5630a6e0,fr FRA,FWMF,Clermont Foot,fr Ligue 1,20,2000,0.7,1,1.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
698,Mouctar Diakhaby\d2110326,gn GUI,DF,Valencia,es La Liga,24,1996,21.6,9,0.42,6,0,1,0,1,1,1,0.05,1,0,0,0,0,0,Matches
699,Ibrahim Diakité\d8c19a60,fr FRA,MF,Reims,fr Ligue 1,17,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
700,Abdou Diallo\fc62f087,sn SEN,DF,Paris S-G,fr Ligue 1,25,1996,9.7,5,0.51,5,0,0,0,0,0,1,0.1,1,0,0,0,0,0,Matches
701,Habib Diallo\6605d143,sn SEN,FW,Strasbourg,fr Ligue 1,26,1995,17.1,33,1.93,23,0,4,4,2,0,9,0.53,5,0,2,1,1,0,Matches
702,Ibrahima Diallo\11ff3d56,fr FRA,MF,Southampton,eng Premier League,22,1999,11.4,29,2.55,25,0,2,0,1,1,4,0.35,4,0,0,0,0,0,Matches
703,Mouhamadou Diarra\6d0fe035,sn SEN,MF,Strasbourg,fr Ligue 1,17,2004,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
704,Stéphane Diarra\29939a1d,fr FRA,FWMF,Lorient,fr Ligue 1,22,1998,5.8,30,5.14,16,2,2,5,3,2,4,0.69,0,0,0,1,2,1,Matches
705,Raphael Dias Belloli\3423f250,br BRA,FWMF,Leeds United,eng Premier League,24,1996,32.4,119,3.67,66,22,13,9,6,3,9,0.28,4,0,2,0,2,1,Matches
706,Rúben Dias\31c69ef1,pt POR,DF,Manchester City,eng Premier League,24,1997,26.7,30,1.12,26,0,0,3,0,1,6,0.22,4,0,0,2,0,0,Matches
707,Krepin Diatta\8104e41e,sn SEN,MFDF,Monaco,fr Ligue 1,22,1999,3.2,6,1.89,5,0,0,0,0,1,1,0.32,1,0,0,0,0,0,Matches
708,Amadou Diawara\bf309d24,gn GUI,MF,Roma,it Serie A,24,1997,1.9,1,0.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
709,Brahim Díaz\407feb71,es ESP,MF,Milan,it Serie A,21,1999,20.6,68,3.3,52,2,5,3,3,3,10,0.49,7,1,0,2,0,0,Matches
710,Javier Díaz\17a1299d,es ESP,GK,Sevilla,es La Liga,24,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
711,Luis Díaz\4a1a9578,co COL,FW,Liverpool,eng Premier League,24,1997,10.6,49,4.6,34,0,10,3,0,2,4,0.38,3,0,0,1,0,0,Matches
712,Víctor Díaz\3624ce4c,es ESP,DF,Granada,es La Liga,33,1988,16.7,11,0.66,11,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
713,Daniel Didavi\d3096421,de GER,FWMF,Stuttgart,de Bundesliga,31,1990,3.1,12,3.9,9,0,2,0,1,0,1,0.32,1,0,0,0,0,0,Matches
714,Bamba Dieng\40774c6b,sn SEN,FWMF,Marseille,fr Ligue 1,21,2000,10.8,19,1.75,10,0,1,4,2,2,6,0.55,2,0,1,0,2,1,Matches
715,Eric Dier\ac861941,eng ENG,DF,Tottenham,eng Premier League,27,1994,34.1,28,0.82,22,0,0,4,0,2,4,0.12,2,0,0,2,0,0,Matches
716,Elhadji Dieye\6a04bb7c,sn SEN,MFFW,Saint-Étienne,fr Ligue 1,19,2002,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
717,Lucas Digne\1b84dbe1,fr FRA,DF,Aston Villa,eng Premier League,28,1993,14.1,46,3.26,33,12,1,0,0,0,7,0.5,6,1,0,0,0,0,Matches
718,Lucas Digne\1b84dbe1,fr FRA,DF,Everton,eng Premier League,28,1993,13,33,2.54,22,9,1,0,1,0,0,0,0,0,0,0,0,0,Matches
719,Virgil van Dijk\e06683ca,nl NED,DF,Liverpool,eng Premier League,30,1991,34,24,0.71,18,0,0,6,0,0,6,0.18,4,0,0,2,0,0,Matches
720,Mitchell Dijks\0a3065c8,nl NED,DF,Bologna,it Serie A,28,1993,7.7,13,1.69,9,2,1,0,1,0,1,0.13,1,0,0,0,0,0,Matches
721,Javairô Dilrosun\34a0f5ff,nl NED,MFFW,Bordeaux,fr Ligue 1,23,1998,19.2,70,3.64,40,17,6,4,3,0,11,0.57,4,3,3,1,0,0,Matches
722,Javairô Dilrosun\34a0f5ff,nl NED,FW,Hertha BSC,de Bundesliga,23,1998,1.5,1,0.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
723,Federico Dimarco\970b8574,it ITA,DF,Inter,it Serie A,23,1997,15.9,81,5.1,40,28,3,7,1,2,6,0.38,1,3,0,2,0,0,Matches
724,Landry Dimata\b5f63410,be BEL,FWMF,Espanyol,es La Liga,23,1997,6,16,2.66,11,0,1,0,3,1,0,0,0,0,0,0,0,0,Matches
725,Stole Dimitrievski\fc70e345,mk MKD,GK,Rayo Vallecano,es La Liga,27,1993,30.8,3,0.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
726,Junior Dina Ebimbe\95bb6ddc,fr FRA,MF,Paris S-G,fr Ligue 1,20,2000,3.5,3,0.85,3,0,0,0,0,0,1,0.28,1,0,0,0,0,0,Matches
727,Tristan Dingomé\92b56413,cm CMR,MFFW,Troyes,fr Ligue 1,30,1991,12,31,2.59,19,8,2,1,1,0,7,0.58,4,1,1,0,1,0,Matches
728,Sinaly Diomande\6de23ab0,ci CIV,DF,Lyon,fr Ligue 1,20,2001,6.4,5,0.78,4,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
729,Issa Diop\a712ca2b,fr FRA,DF,West Ham,eng Premier League,24,1997,10.7,2,0.19,2,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
730,Sofiane Diop\19053e31,fr FRA,MFFW,Monaco,fr Ligue 1,21,2000,21.6,78,3.6,50,14,5,2,6,1,12,0.55,10,0,0,1,1,0,Matches
731,Andy Diouf\9b5237b1,fr FRA,MF,Rennes,fr Ligue 1,19,2002,0.2,1,6.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
732,Assane Dioussé\7f622eef,sn SEN,MF,Saint-Étienne,fr Ligue 1,23,1997,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
733,Axel Disasi\ad82197c,fr FRA,DF,Monaco,fr Ligue 1,23,1998,30.2,12,0.4,10,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
734,Filippo Distefano\2110f96c,it ITA,FW,Fiorentina,it Serie A,17,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
735,Matías Dituro\b6160ad0,ar ARG,GK,Celta Vigo,es La Liga,34,1987,38,2,0.05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
736,Tiago Djaló\b2336681,pt POR,DF,Lille,fr Ligue 1,21,2000,25.9,20,0.77,15,2,1,0,0,2,3,0.12,2,0,1,0,0,0,Matches
737,Djené\a4971d84,tg TOG,DF,Getafe,es La Liga,29,1991,34.6,26,0.75,20,0,2,1,1,2,4,0.12,4,0,0,0,0,0,Matches
738,Moussa Djenepo\254147d4,ml MLI,MF,Southampton,eng Premier League,23,1998,5.1,16,3.15,12,0,2,1,1,0,1,0.2,1,0,0,0,0,0,Matches
739,Koffi Djidji\933d3b51,ci CIV,DF,Torino,it Serie A,28,1992,19.3,12,0.62,12,0,0,0,0,0,2,0.1,2,0,0,0,0,0,Matches
740,Alexander Djiku\43e7a164,gh GHA,DF,Strasbourg,fr Ligue 1,26,1994,29.9,22,0.73,21,0,0,0,0,1,2,0.07,2,0,0,0,0,0,Matches
741,Bryan Djile Nokoué\75186a6a,cm CMR,DFMF,Saint-Étienne,fr Ligue 1,19,2002,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
742,Berat Djimsiti\6eee05f1,al ALB,DF,Atalanta,it Serie A,28,1993,25.1,21,0.84,16,0,1,3,0,1,1,0.04,1,0,0,0,0,0,Matches
743,Ouparine Djoco\62124972,sn SEN,GK,Clermont Foot,fr Ligue 1,23,1998,23.5,1,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
744,Naïs Djouahra\3594a357,fr FRA,FWMF,Real Sociedad,es La Liga,21,1999,2.4,8,3.29,6,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
745,Marko Dmitrović\ac295d9e,rs SRB,GK,Sevilla,es La Liga,29,1992,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
746,Lewis Dobbin\e814e1cf,eng ENG,FWMF,Everton,eng Premier League,18,2003,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
747,Matt Doherty\d557d734,ie IRL,DF,Tottenham,eng Premier League,29,1992,9.7,23,2.37,19,0,1,3,0,0,4,0.41,4,0,0,0,0,0,Matches
748,Jeremy Doku\fffea3e5,be BEL,FWMF,Rennes,fr Ligue 1,19,2002,5.2,23,4.41,16,0,4,1,2,0,4,0.77,3,0,1,0,0,0,Matches
749,Kasper Dolberg\cc83b74d,dk DEN,FW,Nice,fr Ligue 1,23,1997,16.6,29,1.75,22,0,0,4,2,1,3,0.18,2,0,0,1,0,0,Matches
750,Jaume Doménech\c9cb972b,es ESP,GK,Valencia,es La Liga,30,1990,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
751,Brandon Domingues\2a00c6c0,fr FRA,MFFW,Troyes,fr Ligue 1,21,2000,2.6,8,3.12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
752,Carlos Dominguez\3521abfe,es ESP,DF,Celta Vigo,es La Liga,20,2001,3.8,1,0.26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
753,Mario Dominguez\d709cd5c,es ESP,FW,Valencia,es La Liga,17,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
754,Nicolás Domínguez\20b3a502,ar ARG,MF,Bologna,it Serie A,23,1998,22.4,55,2.46,44,1,0,6,1,3,5,0.22,4,0,0,0,0,1,Matches
755,John Donald\5e95c000,es ESP,DF,Elche,es La Liga,20,2000,2,3,1.5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,Matches
756,Lee Dongjun\96d0b6f0,kr KOR,MF,Hertha BSC,de Bundesliga,24,1997,1.3,2,1.53,1,0,0,1,0,0,1,0.76,1,0,0,0,0,0,Matches
757,Anastasios Donis\0f26fd24,gr GRE,FWMF,Reims,fr Ligue 1,24,1996,4.1,5,1.22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
758,Gianluigi Donnarumma\08f5afaa,it ITA,GK,Paris S-G,fr Ligue 1,22,1999,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
759,Niklas Dorsch\7f73bdf4,de GER,MF,Augsburg,de Bundesliga,23,1998,25.8,34,1.32,21,6,0,1,1,5,3,0.12,3,0,0,0,0,0,Matches
760,Gabriel Dos Santos\67ac5bb8,br BRA,DF,Arsenal,eng Premier League,23,1997,34,22,0.65,20,0,0,1,0,1,1,0.03,1,0,0,0,0,0,Matches
761,Jodel Dossou\a1dbfcb1,bj BEN,FW,Clermont Foot,fr Ligue 1,29,1992,22.3,55,2.47,36,0,9,4,5,1,4,0.18,1,0,2,1,0,0,Matches
762,Lucas Douath\3cd7820a,fr FRA,MF,Saint-Étienne,fr Ligue 1,17,2003,20,26,1.3,21,1,2,0,0,2,0,0,0,0,0,0,0,0,Matches
763,Lohann Doucet\dff0c299,fr FRA,MF,Nantes,fr Ligue 1,18,2002,0.1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
764,Abdoulaye Doucouré\02b29014,ml MLI,MF,Everton,eng Premier League,28,1993,28.2,53,1.88,48,0,2,2,0,1,7,0.25,5,0,1,1,0,0,Matches
765,Cheick Doucouré\ce4f40c7,ml MLI,MF,Lens,fr Ligue 1,21,2000,32.7,86,2.63,74,0,2,3,3,4,7,0.21,5,0,0,2,0,0,Matches
766,Fodé Doucouré\1bfe34dc,ml MLI,DF,Reims,fr Ligue 1,20,2001,1.7,1,0.58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
767,Ismaël Doukouré\0512a60a,fr FRA,DF,Strasbourg,fr Ligue 1,18,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
768,Kamory Doumbia\9226aa22,ml MLI,MFFW,Reims,fr Ligue 1,18,2003,3.9,8,2.05,6,2,0,0,0,0,1,0.26,1,0,0,0,0,0,Matches
769,Moussa Doumbia\6481421d,ml MLI,FW,Reims,fr Ligue 1,26,1994,1,5,5.23,4,0,0,1,0,0,2,2.09,2,0,0,0,0,0,Matches
770,Souleyman Doumbia\9daeac61,ci CIV,DF,Angers,fr Ligue 1,24,1996,24.7,35,1.42,29,0,3,0,2,1,2,0.08,2,0,0,0,0,0,Matches
771,Kieran Dowell\2f6ec02a,eng ENG,FWMF,Norwich City,eng Premier League,23,1997,10.1,23,2.27,18,5,0,0,0,0,1,0.1,1,0,0,0,0,0,Matches
772,Bartłomiej Drągowski\085e71a7,pl POL,GK,Fiorentina,it Serie A,23,1997,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
773,Radu Drăgușin\620922ed,ro ROU,DF,Sampdoria,it Serie A,19,2002,6.9,4,0.58,3,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
774,Radu Drăgușin\620922ed,ro ROU,DF,Salernitana,it Serie A,19,2002,5.4,2,0.37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
775,Cody Drameh\e0d1510a,eng ENG,DF,Leeds United,eng Premier League,19,2001,1.4,2,1.41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
776,Julian Draxler\1a992676,de GER,FWMF,Paris S-G,fr Ligue 1,27,1993,6.1,16,2.63,14,1,1,0,0,0,2,0.33,2,0,0,0,0,0,Matches
777,Matthieu Dreyer\fbf83734,fr FRA,GK,Lorient,fr Ligue 1,32,1989,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
