,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
365,Martin Braithwaite\fd771f95,dk DEN,FW,Barcelona,es La Liga,30,1991,2.6,3,1.15,3,0,0,0,0,0,1,0.38,1,0,0,0,0,0,Matches
366,Julian Brandt\a167537f,de GER,MFFW,Dortmund,de Bundesliga,25,1996,23.1,85,3.68,52,23,7,3,0,0,20,0.87,13,5,2,0,0,0,Matches
367,Jarrad Branthwaite\c1949191,eng ENG,DF,Everton,eng Premier League,19,2002,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
368,Darko Brašanac\4accb7e0,rs SRB,MF,Osasuna,es La Liga,29,1992,26.7,57,2.13,50,0,0,3,2,2,6,0.22,5,0,0,1,0,0,Matches
369,Lilian Brassier\5b146df3,fr FRA,DF,Brest,fr Ligue 1,21,1999,25.1,21,0.84,18,1,0,1,0,1,1,0.04,1,0,0,0,0,0,Matches
370,Claudio Bravo\10072610,cl CHI,GK,Betis,es La Liga,38,1983,16.2,3,0.19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
371,Iker Bravo\db8c8860,es ESP,FW,Leverkusen,de Bundesliga,16,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
372,Fabian Bredlow\d28339cb,de GER,GK,Stuttgart,de Bundesliga,26,1995,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
373,Josip Brekalo\d4a2533d,hr CRO,MF,Wolfsburg,de Bundesliga,23,1998,0.2,1,4.29,1,0,0,0,0,0,1,4.29,1,0,0,0,0,0,Matches
374,Josip Brekalo\d4a2533d,hr CRO,FWMF,Torino,it Serie A,23,1998,25.4,109,4.29,72,19,8,5,3,2,10,0.39,7,0,2,0,0,1,Matches
375,Gleison Bremer\5fd5ed86,br BRA,DF,Torino,it Serie A,24,1997,32.1,22,0.69,14,1,0,5,0,2,2,0.06,1,0,0,1,0,0,Matches
376,Jimmy Briand\f83c8d6c,fr FRA,FWMF,Bordeaux,fr Ligue 1,35,1985,2.5,17,6.77,14,1,0,2,0,0,2,0.8,1,0,0,1,0,0,Matches
